row_label_raw,row_label_full,col_0,col_1,31/12/2024 > Giá trị ghi số VND,31/12/2024 > Giá trị hợp lý VND,31/12/2024 > Dự phòng VND,31/12/2023 > Giá trị ghi số VND,31/12/2023 > Giá trị hợp lý VND,31/12/2023 > Dự phòng VND,numeric__col_1,numeric__31/12/2024 > Giá trị ghi số VND,numeric__31/12/2024 > Giá trị hợp lý VND,numeric__31/12/2024 > Dự phòng VND,numeric__31/12/2023 > Giá trị ghi số VND,numeric__31/12/2023 > Giá trị hợp lý VND,numeric__31/12/2023 > Dự phòng VND
(a),(a),(a),Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,,,,,,,
(a),(a) > (a),(a),Ngân hàng TMCP Xuất nhập khẩu Việt Nam,232.492.951.173,247.635.327.800,-,-,-,-,,232492951173.0,247635327800.0,,,,
(a),(a) > (a),(a),Công ty Cổ phần Tập đoàn GELEX,147.694.731.400,124.952.200.000,(22.742.531.400),-,-,-,,147694731400.0,124952200000.0,-22742531400.0,,,
(a),(a) > (a),(a),Tổng Công ty Cổ phần Dịch vụ Tổng hợp Dầu khí,60.130.198.594,57.845.000.000,(2.710.342.594),-,-,-,,60130198594.0,57845000000.0,-2710342594.0,,,
(a),(a) > (a),(a),Tổng Công ty Thủy sản Việt Nam,30.865.338.665,37.165.550.000,-,-,-,-,,30865338665.0,37165550000.0,,,,
(a),(a) > (a),(a),Công ty Cổ phần FECON,31.838.686.500,36.208.000.000,-,-,-,-,,31838686500.0,36208000000.0,,,,
(a),(a) > (a),(a),Khác,43.626.266.176,48.430.000.000,(612.001.173),-,-,-,,43626266176.0,48430000000.0,-612001173.0,,,
(a),(a) > (a),(a),,546.648.172.508,552.236.077.800,(26.064.875.167),-,-,-,,546648172508.0,552236077800.0,-26064875167.0,,,
(b),(b),(b),Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,
(b),(b) > (b),(b),Tiền gửi có kỳ hạn tại ngân hàng thương mại (**),285.750.000.000,(*),-,425.016.299.943,(*),-,,285750000000.0,,,425016299943.0,,
(c),(c),(c),Đầu tư vào công ty liên kết (i),Đầu tư vào công ty liên kết (i),Đầu tư vào công ty liên kết (i),Đầu tư vào công ty liên kết (i),Đầu tư vào công ty liên kết (i),Đầu tư vào công ty liên kết (i),Đầu tư vào công ty liên kết (i),,,,,,,
(c),(c) > (c),(c),Công ty Cổ phần Logistics Cảng Đà Nẵng,15.313.506.702,45.288.000.000,-,16.645.506.702,39.960.000.000,-,,15313506702.0,45288000000.0,,16645506702.0,39960000000.0,
(c),(c) > (c),(c),Công ty Cổ phần Cảng Dịch vụ Dầu khí Đình Vũ,-,-,-,93.417.959.832,70.561.600.000,-,,,,,93417959832.0,70561600000.0,
(c),(c) > (c),(c),Công ty TNHH Tuyên Container T.S. Hà Nội,4.581.186.174,(*),-,4.581.186.174,(*),-,,4581186174.0,,,4581186174.0,,
(c),(c) > (c),(c),Công ty Cổ phần Cảng VIMC Đình Vũ,347.561.855.412,(*),-,357.408.811.200,(*),-,,347561855412.0,,,357408811200.0,,
(c),(c) > (c),(c),Công ty Cổ phần Vân tải Biển Vinaship (ii),382.026.715.426,301.991.928.000,-,-,-,-,,382026715426.0,301991928000.0,,,,
(c),(c) > (c),(c),Công ty Cổ phần VHL Logistics,9.724.000.000,(*),-,-,-,-,,9724000000.0,,,,,
(c),(c) > (c),(c),Công ty TNHH Cảng Nam Hải Đình Vũ(Thuyết minh 3),Không áp dụng,Không áp dụng,Không áp dụng,998.008.999.296,(*),-,,,,,998008999296.0,,
(c),(c) > (c),(c),,759.207.263.714,(*),-,1.470.062.463.204,(*),-,,759207263714.0,,,1470062463204.0,,
(d),(d),(d),Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,,,,,,,
(d),(d) > (d),(d),Công ty TNHH MSC Việt Nam,155.000.000,(*),-,155.000.000,(*),-,,155000000.0,,,155000000.0,,
