row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Thặng dư vốn cổ phần VND,Vốn khác của chủ sở hữu VND,Quỹ đầu tư phát triển VND,Quỹ khác VND,LNST chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Thặng dư vốn cổ phần VND,numeric__Vốn khác của chủ sở hữu VND,numeric__Quỹ đầu tư phát triển VND,numeric__Quỹ khác VND,numeric__LNST chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng cộng VND
Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,1.212.693.970.000,39.403.521.246,-,875.542.995.447,1.382.700.000,664.028.970.953,408.148.189.660,3.201.200.347.306,1212693970000.0,39403521246.0,,875542995447.0,1382700000.0,664028970953.0,408148189660.0,3201200347306.0
Trích lập Quỹ đầu tư phát triển,Trích lập Quỹ đầu tư phát triển,Trích lập Quỹ đầu tư phát triển,-,-,-,11.083.248.329,-,(11.083.248.329),-,-,,,,11083248329.0,,-11083248329.0,,
"Trích lập Quỹ khen thưởng, phúc lợi","Trích lập Quỹ khen thưởng, phúc lợi","Trích lập Quỹ khen thưởng, phúc lợi",-,-,-,-,-,(28.000.000.000),-,(28.000.000.000),,,,,,-28000000000.0,,-28000000000.0
Thuống Hội đồng Quản trị và Ban Kiểm soát,Thuống Hội đồng Quản trị và Ban Kiểm soát,Thuống Hội đồng Quản trị và Ban Kiểm soát,-,-,-,-,-,(7.271.635.638),-,(7.271.635.638),,,,,,-7271635638.0,,-7271635638.0
Chia cổ tức bằng cổ phiếu năm 2022,Chia cổ tức bằng cổ phiếu năm 2022,Chia cổ tức bằng cổ phiếu năm 2022,121.262.450.000,-,-,-,-,(121.262.450.000),-,-,121262450000.0,,,,,-121262450000.0,,
Chia cổ tức cho cổ đông không kiểm soát,Chia cổ tức cho cổ đông không kiểm soát,Chia cổ tức cho cổ đông không kiểm soát,-,-,-,-,-,-,(54.164.095.200),(54.164.095.200),,,,,,,-54164095200.0,-54164095200.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,123.623.359.657,75.398.666.263,199.022.025.920,,,,,,123623359657.0,75398666263.0,199022025920.0
Ứng trước cổ tức năm nay cho cổ đông không kiểm soát,Ứng trước cổ tức năm nay cho cổ đông không kiểm soát,Ứng trước cổ tức năm nay cho cổ đông không kiểm soát,-,-,-,-,-,-,(16.225.000.000),(16.225.000.000),,,,,,,-16225000000.0,-16225000000.0
Khác,Khác,Khác,-,-,1.382.700.000,-,(1.382.700.000),-,(254.745.000),(254.745.000),,,1382700000.0,,-1382700000.0,,-254745000.0,-254745000.0
Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,1.333.956.420.000,39.403.521.246,1.382.700.000,886.626.243.776,-,620.034.996.643,412.903.015.723,3.294.306.897.388,1333956420000.0,39403521246.0,1382700000.0,886626243776.0,,620034996643.0,412903015723.0,3294306897388.0
Trích lập Quỹ đầu tư phát triển,Trích lập Quỹ đầu tư phát triển,Trích lập Quỹ đầu tư phát triển,-,-,-,6.017.893.904,-,(6.017.893.904),-,-,,,,6017893904.0,,-6017893904.0,,
"Trích lập Quỹ khen thưởng, phúc lợi (Thuyết minh 20) (i)","Trích lập Quỹ khen thưởng, phúc lợi (Thuyết minh 20) (i)","Trích lập Quỹ khen thưởng, phúc lợi (Thuyết minh 20) (i)",-,-,-,-,-,(25.000.000.000),-,(25.000.000.000),,,,,,-25000000000.0,,-25000000000.0
Thuống Hội đồng Quản trị và Ban Kiểm soát (i),Thuống Hội đồng Quản trị và Ban Kiểm soát (i),Thuống Hội đồng Quản trị và Ban Kiểm soát (i),-,-,-,-,-,(5.604.306.005),-,(5.604.306.005),,,,,,-5604306005.0,,-5604306005.0
Vốn tăng trong năm (ii),Vốn tăng trong năm (ii),Vốn tăng trong năm (ii),1.333.956.420.000,-,-,-,-,-,-,1.333.956.420.000,1333956420000.0,,,,,,,1333956420000.0
Chia cổ tức bằng cổ phiếu năm 2023 (iii),Chia cổ tức bằng cổ phiếu năm 2023 (iii),Chia cổ tức bằng cổ phiếu năm 2023 (iii),200.055.350.000,-,-,-,-,(200.055.350.000),-,-,200055350000.0,,,,,-200055350000.0,,
Chia cổ tức cho cổ đông không kiểm soát (iv),Chia cổ tức cho cổ đông không kiểm soát (iv),Chia cổ tức cho cổ đông không kiểm soát (iv),-,-,-,-,-,-,(103.655.095.200),(103.655.095.200),,,,,,,-103655095200.0,-103655095200.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,336.159.900.134,98.379.328.916,434.539.229.050,,,,,,336159900134.0,98379328916.0,434539229050.0
Ứng trước cổ tức năm nay cho cổ đông không kiểm soát (v),Ứng trước cổ tức năm nay cho cổ đông không kiểm soát (v),Ứng trước cổ tức năm nay cho cổ đông không kiểm soát (v),-,-,-,-,-,-,(32.450.000.000),(32.450.000.000),,,,,,,-32450000000.0,-32450000000.0
Khác,Khác,Khác,-,94.000.000,-,-,-,-,(71.426.952),22.573.048,,94000000.0,,,,,-71426952.0,22573048.0
Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,2.867.968.190.000,39.497.521.246,1.382.700.000,892.644.137.680,-,719.517.346.868,375.105.822.487,4.896.115.718.281,2867968190000.0,39497521246.0,1382700000.0,892644137680.0,,719517346868.0,375105822487.0,4896115718281.0
