row_label_raw,row_label_full,col_0,Hoạt độngbốc dở containerVND,"Hoạt động chạy lạnh, kiểm dịch, lưu kho, lưu bãi VND",Hoạt độngvận chuyểnVND,KhácVND,Tổng cộngVND,numeric__Hoạt độngbốc dở containerVND,"numeric__Hoạt động chạy lạnh, kiểm dịch, lưu kho, lưu bãi VND",numeric__Hoạt độngvận chuyểnVND,numeric__KhácVND,numeric__Tổng cộngVND
Tài sản của bộ phận,Tài sản của bộ phận,Tài sản của bộ phận,1.849.848.918.465,508.732.656.276,496.823.186.511,992.761.480.971,3.848.166.242.223,1849848918465.0,508732656276.0,496823186511.0,992761480971.0,3848166242223.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,,,,3.946.963.352.315,,,,,3946963352315.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,,,,,7.795.129.594.538,,,,,7795129594538.0
Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,51.764.366.699,14.235.878.135,13.902.615.156,27.780.468.357,107.683.328.347,51764366699.0,14235878135.0,13902615156.0,27780468357.0,107683328347.0
Các khoản nợ không phân bổ,Các khoản nợ không phân bổ,Các khoản nợ không phân bổ,,,,,2.791.330.547.910,,,,,2791330547910.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,,,,,2.899.013.876.257,,,,,2899013876257.0
,,,Tại ngày 31/12/2023,Tại ngày 31/12/2023,Tại ngày 31/12/2023,Tại ngày 31/12/2023,Tại ngày 31/12/2023,,,,,
,,,Hoạt độngbốc dở containerVND,"Hoạt động chạy lạnh, kiểm dịch, lưu kho, lưu bãi VND",Hoạt độngvận chuyểnVND,KhácVND,Tổng cộngVND,,,,,
Tài sản của bộ phận,Tài sản của bộ phận,Tài sản của bộ phận,408.384.146.551,105.242.174.068,132.179.651.861,203.388.592.134,849.194.564.614,408384146551.0,105242174068.0,132179651861.0,203388592134.0,849194564614.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,,,,4.341.731.289.474,,,,,4341731289474.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,,,,,5.190.925.854.088,,,,,5190925854088.0
Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,40.175.967.134,6.401.798.497,19.388.979.236,14.588.475.920,80.555.220.787,40175967134.0,6401798497.0,19388979236.0,14588475920.0,80555220787.0
Các khoản nợ không phân bổ,Các khoản nợ không phân bổ,Các khoản nợ không phân bổ,,,,,1.816.063.735.913,,,,,1816063735913.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,,,,,1.896.618.956.700,,,,,1896618956700.0
