row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm máy tính VND,Giấy phép khai thác cảng biển (*) VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy tính VND,numeric__Giấy phép khai thác cảng biển (*) VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Tại ngày 1 tháng 1 năm 2024,Nguyên giá > Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,5.417.853.001,16.822.105.749,-,22.239.958.750,5417853001.0,16822105749.0,,22239958750.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,1.937.460.000,-,1.937.460.000,,1937460000.0,,1937460000.0
Tăng do hợp nhất trong năm (Thuyết minh 3),Nguyên giá > Tăng do hợp nhất trong năm (Thuyết minh 3),Tăng do hợp nhất trong năm (Thuyết minh 3),-,12.772.181.510,2.284.048.000.000,2.296.820.181.510,,12772181510.0,2284048000000.0,2296820181510.0
Tại ngày 31 tháng 12 năm 2024,Nguyên giá > Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,5.417.853.001,31.531.747.259,2.284.048.000.000,2.320.997.600.260,5417853001.0,31531747259.0,2284048000000.0,2320997600260.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,
Tại ngày 1 tháng 1 năm 2024,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,-,(16.128.123.425),-,(16.128.123.425),,-16128123425.0,,-16128123425.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,(1.154.337.869),(36.643.661.738),(37.797.999.607),,-1154337869.0,-36643661738.0,-37797999607.0
Tăng do hợp nhất trong năm (Thuyết minh 3),Giá trị khấu hao lũy kế > Tăng do hợp nhất trong năm (Thuyết minh 3),Tăng do hợp nhất trong năm (Thuyết minh 3),-,(7.562.205.762),-,(7.562.205.762),,-7562205762.0,,-7562205762.0
Tại ngày 31 tháng 12 năm 2024,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,-,(24.844.667.056),(36.643.661.738),(61.488.328.794),,-24844667056.0,-36643661738.0,-61488328794.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày 1 tháng 1 năm 2024,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,5.417.853.001,693.982.324,-,6.111.835.325,5417853001.0,693982324.0,,6111835325.0
Tại ngày 31 tháng 12 năm 2024,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,5.417.853.001,6.687.080.203,2.247.404.338.262,2.259.509.271.466,5417853001.0,6687080203.0,2247404338262.0,2259509271466.0
