row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc,thiết bịVND",Phương tiệnvận tảiVND,Thiết bịquản lýVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc,thiết bịVND",numeric__Phương tiệnvận tảiVND,numeric__Thiết bịquản lýVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Tại ngày 1 tháng 1 năm 2024,Nguyên giá > Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,952.469.618.214,94.623.910.781,1.491.247.679.165,18.633.142.833,2.556.974.350.993,952469618214.0,94623910781.0,1491247679165.0,18633142833.0,2556974350993.0
Mua mới trong năm,Nguyên giá > Mua mới trong năm,Mua mới trong năm,331.130.000,1.243.720.000,10.750.369.357,1.001.739.273,13.326.958.630,331130000.0,1243720000.0,10750369357.0,1001739273.0,13326958630.0
Tăng do hợp nhất trong năm(Thuyết minh 3) (*),Nguyên giá > Tăng do hợp nhất trong năm(Thuyết minh 3) (*),Tăng do hợp nhất trong năm(Thuyết minh 3) (*),789.320.555.590,754.870.000.000,73.820.201.574,11.020.264.946,1.629.031.022.110,789320555590.0,754870000000.0,73820201574.0,11020264946.0,1629031022110.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(614.492.512),(2.669.602.194),(208.968.000),(3.493.062.706),,-614492512.0,-2669602194.0,-208968000.0,-3493062706.0
Tại ngày 31 tháng 12 năm 2024,Nguyên giá > Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,1.742.121.303.804,850.123.138.269,1.573.148.647.902,30.446.179.052,4.195.839.269.027,1742121303804.0,850123138269.0,1573148647902.0,30446179052.0,4195839269027.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,
Tại ngày 1 tháng 1 năm 2024,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,(621.205.346.322),(80.327.337.630),(1.205.204.339.379),(17.461.111.606),(1.924.198.134.937),-621205346322.0,-80327337630.0,-1205204339379.0,-17461111606.0,-1924198134937.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,(68.105.253.385),(36.447.081.914),(88.235.809.226),(1.348.236.154),(194.136.380.679),-68105253385.0,-36447081914.0,-88235809226.0,-1348236154.0,-194136380679.0
Tăng do hợp nhất trong năm(Thuyết minh 3) (*),Giá trị khấu hao lũy kế > Tăng do hợp nhất trong năm(Thuyết minh 3) (*),Tăng do hợp nhất trong năm(Thuyết minh 3) (*),(319.258.708.458),(377.898.000.000),(29.381.528.212),(5.045.751.285),(731.583.987.955),-319258708458.0,-377898000000.0,-29381528212.0,-5045751285.0,-731583987955.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,40.105.883,1.485.292.084,-,1.525.397.967,,40105883.0,1485292084.0,,1525397967.0
Tại ngày 31 tháng 12 năm 2024,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,(1.008.569.308.165),(494.632.313.661),(1.321.336.384.733),(23.855.099.045),(2.848.393.105.604),-1008569308165.0,-494632313661.0,-1321336384733.0,-23855099045.0,-2848393105604.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày 1 tháng 1 năm 2024,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,331.264.271.892,14.296.573.151,286.043.339.786,1.172.031.227,632.776.216.056,331264271892.0,14296573151.0,286043339786.0,1172031227.0,632776216056.0
Tại ngày 31 tháng 12 năm 2024,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,733.551.995.639,355.490.824.608,251.812.263.169,6.591.080.007,1.347.446.163.423,733551995639.0,355490824608.0,251812263169.0,6591080007.0,1347446163423.0
