row_label_raw,row_label_full,col_0,col_1,Tại ngày1/1/2024VND,Tăng do hợp nhấttrong nămVND,Tăng trong nămVND,Thanh toántrong nămVND,Lãi nhập gócVND(Thuyết minh 35),Nợ ngắn hạnđến hạn trảVND,Cán trừ với khoảnphải thu khácVND(Thuyết minh 35),Tại ngày31/12/2024VND,numeric__col_1,numeric__Tại ngày1/1/2024VND,numeric__Tăng do hợp nhấttrong nămVND,numeric__Tăng trong nămVND,numeric__Thanh toántrong nămVND,numeric__Lãi nhập gócVND(Thuyết minh 35),numeric__Nợ ngắn hạnđến hạn trảVND,numeric__Cán trừ với khoảnphải thu khácVND(Thuyết minh 35),numeric__Tại ngày31/12/2024VND
(a),(a),(a),Vay ngắn hạnVay bên thử baTrong đó:- Vay công ty chứngkhoản (i)- Vay ngân hàng (ii)- Vay doanh nghiệp (iii)Thuế tài chính,117.848.968.535,130.000.000.000,1.401.812.927.733,(1.389.019.881.480),15.105.051.498,42.408.322.563,(19.388.646.953),298.766.741.896,,117848968535.0,130000000000.0,1401812927733.0,-1389019881480.0,15105051498.0,42408322563.0,-19388646953.0,298766741896.0
(a),(a),(a),Vay ngắn hạnVay bên thử baTrong đó:- Vay công ty chứngkhoản (i)- Vay ngân hàng (ii)- Vay doanh nghiệp (iii)Thuế tài chính,-,-,1.356.513.026.811,(1.126.108.153.647),7.036.609.996,-,-,237.441.483.160,,,,1356513026811.0,-1126108153647.0,7036609996.0,,,237441483160.0
(a),(a),(a),Vay ngắn hạnVay bên thử baTrong đó:- Vay công ty chứngkhoản (i)- Vay ngân hàng (ii)- Vay doanh nghiệp (iii)Thuế tài chính,5.163.395.096,-,45.299.900.922,(38.670.946.301),-,42.408.322.563,-,54.200.672.280,,5163395096.0,,45299900922.0,-38670946301.0,,42408322563.0,,54200672280.0
(a),(a),(a),Vay ngắn hạnVay bên thử baTrong đó:- Vay công ty chứngkhoản (i)- Vay ngân hàng (ii)- Vay doanh nghiệp (iii)Thuế tài chính,112.685.573.439,130.000.000.000,-,(224.240.781.532),8.068.441.502,-,(19.388.646.953),7.124.586.456,,112685573439.0,130000000000.0,,-224240781532.0,8068441502.0,,-19388646953.0,7124586456.0
(a),(a),(a),Vay ngắn hạnVay bên thử baTrong đó:- Vay công ty chứngkhoản (i)- Vay ngân hàng (ii)- Vay doanh nghiệp (iii)Thuế tài chính,986.941.908,-,-,(986.941.908),-,986.941.908,-,986.941.908,,986941908.0,,,-986941908.0,,986941908.0,,986941908.0
(a),(a),(a),Vay ngắn hạnVay bên thử baTrong đó:- Vay công ty chứngkhoản (i)- Vay ngân hàng (ii)- Vay doanh nghiệp (iii)Thuế tài chính,118.835.910.443,130.000.000.000,1.401.812.927.733,(1.390.006.823.388),15.105.051.498,43.395.264.471,(19.388.646.953),299.753.683.804,,118835910443.0,130000000000.0,1401812927733.0,-1390006823388.0,15105051498.0,43395264471.0,-19388646953.0,299753683804.0
(b),(b),(b),Vay dài hạnVay ngân hàng (**)Trong đó:- Ngân hàng TMCP BảoViệt - Chi nhánh HảiPhòng (iv)- Ngân hàng TMCP Xuấtnhập khẩu Việt Nam –Chi nhánh Hải Phòng (v)Thuế tài chính,1.446.054.810.383,-,1.739.613.698.630,(1.495.668.509.013),-,(42.408.322.563),-,1.647.591.677.437,,1446054810383.0,,1739613698630.0,-1495668509013.0,,-42408322563.0,,1647591677437.0
(b),(b),(b),Vay dài hạnVay ngân hàng (**)Trong đó:- Ngân hàng TMCP BảoViệt - Chi nhánh HảiPhòng (iv)- Ngân hàng TMCP Xuấtnhập khẩu Việt Nam –Chi nhánh Hải Phòng (v)Thuế tài chính,1.446.054.810.383,-,-,(1.446.054.810.383),-,-,-,-,,1446054810383.0,,,-1446054810383.0,,,,
(b),(b),(b),Vay dài hạnVay ngân hàng (**)Trong đó:- Ngân hàng TMCP BảoViệt - Chi nhánh HảiPhòng (iv)- Ngân hàng TMCP Xuấtnhập khẩu Việt Nam –Chi nhánh Hải Phòng (v)Thuế tài chính,-,-,1.739.613.698.630,(49.613.698.630),-,(42.408.322.563),-,1.647.591.677.437,,,,1739613698630.0,-49613698630.0,,-42408322563.0,,1647591677437.0
(b),(b),(b),Vay dài hạnVay ngân hàng (**)Trong đó:- Ngân hàng TMCP BảoViệt - Chi nhánh HảiPhòng (iv)- Ngân hàng TMCP Xuấtnhập khẩu Việt Nam –Chi nhánh Hải Phòng (v)Thuế tài chính,3.694.202.627,-,-,-,-,(986.941.908),-,2.707.260.719,,3694202627.0,,,,,-986941908.0,,2707260719.0
(b),(b),(b),Vay dài hạnVay ngân hàng (**)Trong đó:- Ngân hàng TMCP BảoViệt - Chi nhánh HảiPhòng (iv)- Ngân hàng TMCP Xuấtnhập khẩu Việt Nam –Chi nhánh Hải Phòng (v)Thuế tài chính,1.449.749.013.010,-,1.739.613.698.630,(1.495.668.509.013),-,(43.395.264.471),-,1.650.298.938.156,,1449749013010.0,,1739613698630.0,-1495668509013.0,,-43395264471.0,,1650298938156.0
