row_label_raw,row_label_full,Loại tiền,Mức tănglãi suất31/12/2016,Ảnh hưởng đếnkết quả hoạt độngkinh doanh sau thuế2016(Triệu VND),numeric__Mức tănglãi suất31/12/2016,numeric__Ảnh hưởng đếnkết quả hoạt độngkinh doanh sau thuế2016(Triệu VND)
VND,VND,VND,"2,0%",315.855,0.02,315855.0
USD,USD,USD,"1,0%",(4.904),0.01,-4904.0
Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,,
Loại tiền,Loại tiền,Loại tiền,Mức tănglãi suất31/12/2015,Ảnh hưởng đếnkết quả hoạt độngkinh doanh sau thuế2015(Triệu VND),,
VND,Loại tiền > VND,VND,"2,00%",248.026,0.02,248026.0
USD,Loại tiền > USD,USD,"1,00%",(16.039),0.01,-16039.0
