row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2016(Triệu VND),Quá hạn đến3 tháng,Quá hạn trên 3 tháng,Đến 1 tháng,Từ trên 1 đến3 tháng,Từ trên 3 đến12 tháng,Từ trên 1 năm đến5 năm,Trên 5 năm,Tổng cộng,numeric__Quá hạn đến3 tháng,numeric__Quá hạn trên 3 tháng,numeric__Đến 1 tháng,numeric__Từ trên 1 đến3 tháng,numeric__Từ trên 3 đến12 tháng,numeric__Từ trên 1 năm đến5 năm,numeric__Trên 5 năm,numeric__Tổng cộng
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,-,-,1.513.873,-,-,-,-,1.513.873,,,1513873.0,,,,,1513873.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,10.002.478,-,-,-,-,10.002.478,,,10002478.0,,,,,10002478.0
Tiền gửi và cho vay các TCTD khác –gộp,Tài sản > Tiền gửi và cho vay các TCTD khác –gộp,Tiền gửi và cho vay các TCTD khác –gộp,-,196.000,6.222.861,10.215.873,5.750.640,2.000.000,-,24.385.374,,196000.0,6222861.0,10215873.0,5750640.0,2000000.0,,24385374.0
Các công cụ tài chính phải sinhvà các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinhvà các tài sản tài chính khác,Các công cụ tài chính phải sinhvà các tài sản tài chính khác,-,-,53.419,-,-,-,-,53.419,,,53419.0,,,,,53419.0
Cho vay khách hàng – gộp,Tài sản > Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,1.904.761,1.987.197,9.135.613,26.213.341,35.705.702,31.611.857,42.324.387,148.882.858,1904761.0,1987197.0,9135613.0,26213341.0,35705702.0,31611857.0,42324387.0,148882858.0
Chứng khoán đầu tư – gộp,Tài sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,-,400.000,3.143.089,4.468.104,4.503.903,39.607.412,1.803.974,53.926.482,,400000.0,3143089.0,4468104.0,4503903.0,39607412.0,1803974.0,53926482.0
"Gộp vốn, đầu tư dài hạn – gộp","Tài sản > Gộp vốn, đầu tư dài hạn – gộp","Gộp vốn, đầu tư dài hạn – gộp",-,-,-,-,-,-,4.575.289,4.575.289,,,,,,,4575289.0,4575289.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,-,-,-,-,-,2.221.304,2.221.304,,,,,,,2221304.0,2221304.0
Tài sản có khác – gộp,Tài sản > Tài sản có khác – gộp,Tài sản có khác – gộp,-,419.026,6.832.481,-,1.189.372,-,-,8.440.879,,419026.0,6832481.0,,1189372.0,,,8440879.0
,,,1.904.761,3.002.223,36.903.814,40.897.318,47.149.617,73.219.269,50.924.954,254.001.956,1904761.0,3002223.0,36903814.0,40897318.0,47149617.0,73219269.0,50924954.0,254001956.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,16.013.840,6.764.446,1.215.712,146.706,-,24.140.704,,,16013840.0,6764446.0,1215712.0,146706.0,,24140704.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,74.196.536,45.807.401,49.968.160,25.171.590,4.084,195.147.771,,,74196536.0,45807401.0,49968160.0,25171590.0,4084.0,195147771.0
"Vốn tài trợ, ủy thác đầu tư, cho vayTCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vayTCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vayTCTD chịu rủi ro",-,-,-,211,15.060,242.899,-,258.170,,,,211.0,15060.0,242899.0,,258170.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,36.953,-,-,2.000.000,-,2.036.953,,,36953.0,,,2000000.0,,2036953.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,2.233.895,-,1.275.580,-,-,3.509.475,,,2233895.0,,1275580.0,,,3509475.0
,,,-,-,92.481.224,52.572.058,52.474.512,27.561.195,4.084,225.093.073,,,92481224.0,52572058.0,52474512.0,27561195.0,4084.0,225093073.0
Mức chênh thanh khoản ròng,Nợ phải trả > Mức chênh thanh khoản ròng,Mức chênh thanh khoản ròng,1.904.761,3.002.223,(55.577.410),(11.674.740),(5.324.895),45.658.074,50.920.870,28.908.883,1904761.0,3002223.0,-55577410.0,-11674740.0,-5324895.0,45658074.0,50920870.0,28908883.0
