row_label_raw,row_label_full,col_0,31/12/2016Triệu VND,31/12/2015Triệu VND,numeric__31/12/2016Triệu VND,numeric__31/12/2015Triệu VND
Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,,,,
Tiền gửi không kỳ hạn bằng VND,Tiền gửi không kỳ hạn > Tiền gửi không kỳ hạn bằng VND,Tiền gửi không kỳ hạn bằng VND,45.762,56.195,45762.0,56195.0
Tiền gửi không kỳ hạn bằng ngoại tệ,Tiền gửi không kỳ hạn > Tiền gửi không kỳ hạn bằng ngoại tệ,Tiền gửi không kỳ hạn bằng ngoại tệ,3.163.306,6.226.445,3163306.0,6226445.0
Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,,,,
Tiền gửi có kỳ hạn bằng VND,Tiền gửi có kỳ hạn > Tiền gửi có kỳ hạn bằng VND,Tiền gửi có kỳ hạn bằng VND,7.074.383,6.672.000,7074383.0,6672000.0
Tiền gửi có kỳ hạn bằng ngoại tệ,Tiền gửi có kỳ hạn > Tiền gửi có kỳ hạn bằng ngoại tệ,Tiền gửi có kỳ hạn bằng ngoại tệ,-,4.212.283,,4212283.0
Cho vay các TCTD khác,Cho vay các TCTD khác,Cho vay các TCTD khác,,,,
Cho vay bằng VND,Cho vay các TCTD khác > Cho vay bằng VND,Cho vay bằng VND,13.516.614,9.617.139,13516614.0,9617139.0
Cho vay bằng ngoại tệ,Cho vay các TCTD khác > Cho vay bằng ngoại tệ,Cho vay bằng ngoại tệ,585.309,1.525.864,585309.0,1525864.0
Dự phòng rủi ro tiền gửi và cho vay các TCTD khác (i),Cho vay các TCTD khác > Dự phòng rủi ro tiền gửi và cho vay các TCTD khác (i),Dự phòng rủi ro tiền gửi và cho vay các TCTD khác (i),(196.216),(269.000),-196216.0,-269000.0
,,,24.189.158,28.040.926,24189158.0,28040926.0
