row_label_raw,row_label_full,col_0,Giá trị ghi sổ trước thời điểm mua Triệu VND,Các điều chỉnh giá trị hợp lý Triệu VND,Giá trị ghi nhận tại thời điểm mua Triệu VND,numeric__Giá trị ghi sổ trước thời điểm mua Triệu VND,numeric__Các điều chỉnh giá trị hợp lý Triệu VND,numeric__Giá trị ghi nhận tại thời điểm mua Triệu VND
Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,41,-,41,41.0,,41.0
Tiền gửi tại các tổ chức tín dụng khác,Tiền gửi tại các tổ chức tín dụng khác,Tiền gửi tại các tổ chức tín dụng khác,12.824,-,12.824,12824.0,,12824.0
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,100.488,-,100.488,100488.0,,100488.0
Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,(30.123),-,(30.123),-30123.0,,-30123.0
Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,9.090,-,9.090,9090.0,,9090.0
Chứng khoán đầu tư giữ đến ngày đáo hạn,Chứng khoán đầu tư giữ đến ngày đáo hạn,Chứng khoán đầu tư giữ đến ngày đáo hạn,566.344,-,566.344,566344.0,,566344.0
Dự phòng rủi ro chứng khoán đầu tư,Dự phòng rủi ro chứng khoán đầu tư,Dự phòng rủi ro chứng khoán đầu tư,(274.773),-,(274.773),-274773.0,,-274773.0
Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,3.000,-,3.000,3000.0,,3000.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,51,-,51,51.0,,51.0
Tài sản cố định vô hình,Tài sản cố định vô hình,Tài sản cố định vô hình,165,-,165,165.0,,165.0
Tài sản Có khác – gộp,Tài sản Có khác – gộp,Tài sản Có khác – gộp,124.549,-,124.549,124549.0,,124549.0
Dự phòng rủi ro cho các tài sản Có nội bảng khác,Dự phòng rủi ro cho các tài sản Có nội bảng khác,Dự phòng rủi ro cho các tài sản Có nội bảng khác,(40.621),-,(40.621),-40621.0,,-40621.0
Vay các tổ chức tín dụng khác,Vay các tổ chức tín dụng khác,Vay các tổ chức tín dụng khác,(68.000),-,(68.000),-68000.0,,-68000.0
Các khoản nợ khác,Các khoản nợ khác,Các khoản nợ khác,(35.805),-,(35.805),-35805.0,,-35805.0
Tài sản thuần có thể xác định được của SDFC,Tài sản thuần có thể xác định được của SDFC,Tài sản thuần có thể xác định được của SDFC,367.230,-,367.230,367230.0,,367230.0
Lợi thế thương mại phát sinh từ việc mua SDFC,Lợi thế thương mại phát sinh từ việc mua SDFC,Lợi thế thương mại phát sinh từ việc mua SDFC,,,94.261,,,94261.0
Khoản thanh toán cho việc mua SDFC (Thuyết minh 40),Khoản thanh toán cho việc mua SDFC (Thuyết minh 40),Khoản thanh toán cho việc mua SDFC (Thuyết minh 40),,,461.491,,,461491.0
