row_label_raw,row_label_full,col_0,col_1,ThuyếtMinh,31/12/2016Triệu VND,31/12/2015Triệu VND,numeric__col_1,numeric__ThuyếtMinh,numeric__31/12/2016Triệu VND,numeric__31/12/2015Triệu VND
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,,,
B,B,B,NỘ PHẢI TRẢ,,,,,,,
I,B > I,I,Các khoản nợ Chính phủ và Ngân hàng Nhà nước,,-,1.411.502,,,,1411502.0
II,B > II,II,Tiền gửi và vay các TCTD khác,16,24.140.704,7.173.930,,16.0,24140704.0,7173930.0
1,B > 1,1,Tiền gửi của các TCTD khác,,12.839.357,3.483.598,,,12839357.0,3483598.0
2,B > 2,2,Vay các TCTD khác,,11.301.347,3.690.332,,,11301347.0,3690332.0
III,B > III,III,Tiền gửi của khách hàng,17,195.147.771,181.750.789,,17.0,195147771.0,181750789.0
V,B > V,V,"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",18,258.170,317.958,,18.0,258170.0,317958.0
VI,B > VI,VI,Phát hành giấy tờ có giá,19,2.036.953,2.080.058,,19.0,2036953.0,2080058.0
VII,B > VII,VII,Các khoản nợ khác,20,3.509.475,3.671.532,,20.0,3509475.0,3671532.0
1,B > 1,1,"Các khoản lãi, phí phải trả",,2.233.895,1.755.350,,,2233895.0,1755350.0
3,B > 3,3,Các khoản phải trả và công nợ khác,,1.275.580,1.916.182,,,1275580.0,1916182.0
,,,TỔNG NỘ PHẢI TRẢ,,225.093.073,196.405.769,,,225093073.0,196405769.0
,,,VỐN CHỦ SỞ HỮU,,,,,,,
VIII,B > VIII,VIII,Vốn và các quỹ,21,25.097.994,22.286.994,,21.0,25097994.0,22286994.0
1,B > 1,1,Vốn của TCTD,,17.955.606,16.718.524,,,17955606.0,16718524.0
a,B > a,a,Vốn điều lệ,,17.127.409,16.000.000,,,17127409.0,16000000.0
c,B > c,c,Thặng dư vốn cổ phần,,828.197,718.524,,,828197.0,718524.0
2,B > 2,2,Quỹ của TCTD,,2.633.088,2.197.064,,,2633088.0,2197064.0
5,B > 5,5,Lợi nhuận chưa phân phối,,4.509.300,3.371.406,,,4509300.0,3371406.0
,,,TỔNG VỐN CHỦ SỞ HỮU,,25.097.994,22.286.994,,,25097994.0,22286994.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,250.191.067,218.692.763,,,250191067.0,218692763.0
