row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2016,Miền BắcTriệu VND > Ngày 31 tháng 12 năm 2016,Miền TrungTriệu VND > Ngày 31 tháng 12 năm 2016,Miền NamTriệu VND > Ngày 31 tháng 12 năm 2016,Nước ngoàiTriệu VND > Ngày 31 tháng 12 năm 2016,Tổng cộngTriệu VND > Ngày 31 tháng 12 năm 2016,numeric__Miền BắcTriệu VND > Ngày 31 tháng 12 năm 2016,numeric__Miền TrungTriệu VND > Ngày 31 tháng 12 năm 2016,numeric__Miền NamTriệu VND > Ngày 31 tháng 12 năm 2016,numeric__Nước ngoàiTriệu VND > Ngày 31 tháng 12 năm 2016,numeric__Tổng cộngTriệu VND > Ngày 31 tháng 12 năm 2016
Tài sản,Tài sản,Tài sản,180.801.699,15.877.014,49.782.075,3.730.279,250.191.067,180801699.0,15877014.0,49782075.0,3730279.0,250191067.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,156.867.450,15.737.649,48.809.589,3.678.385,225.093.073,156867450.0,15737649.0,48809589.0,3678385.0,225093073.0
Tài sản cố định – thuần,Tài sản cố định – thuần,Tài sản cố định – thuần,1.909.485,74.237,208.357,29.225,2.221.304,1909485.0,74237.0,208357.0,29225.0,2221304.0
2016,2016,2016,2016,2016,2016,2016,2016,2016.0,2016.0,2016.0,2016.0,2016.0
Doanh thu,Doanh thu,Doanh thu,8.547.855,1.952.162,6.338.498,288.625,17.127.140,8547855.0,1952162.0,6338498.0,288625.0,17127140.0
Chi phí,Chi phí,Chi phí,6.261.284,1.738.559,5.157.655,258.611,13.416.109,6261284.0,1738559.0,5157655.0,258611.0,13416109.0
Lợi nhuận trước thuế,Lợi nhuận trước thuế,Lợi nhuận trước thuế,2.286.571,213.603,1.180.843,30.014,3.711.031,2286571.0,213603.0,1180843.0,30014.0,3711031.0
,,,Miền BắcTriệu VND,Miền TrungTriệu VND,Miền NamTriệu VND,Nước ngoàiTriệu VND,Tổng cộngTriệu VND,,,,,
Ngày 31 tháng 12 năm 2015,Ngày 31 tháng 12 năm 2015,Ngày 31 tháng 12 năm 2015,Ngày 31 tháng 12 năm 2015,Ngày 31 tháng 12 năm 2015,Ngày 31 tháng 12 năm 2015,Ngày 31 tháng 12 năm 2015,Ngày 31 tháng 12 năm 2015,,,,,
Tài sản,Ngày 31 tháng 12 năm 2015 > Tài sản,Tài sản,163.193.371,11.642.655,40.412.882,3.443.855,218.692.763,163193371.0,11642655.0,40412882.0,3443855.0,218692763.0
Nợ phải trả,Ngày 31 tháng 12 năm 2015 > Nợ phải trả,Nợ phải trả,141.298.953,11.542.763,40.157.739,3.406.314,196.405.769,141298953.0,11542763.0,40157739.0,3406314.0,196405769.0
Tài sản cố định – thuần,Ngày 31 tháng 12 năm 2015 > Tài sản cố định – thuần,Tài sản cố định – thuần,1.308.892,65.452,184.888,26.721,1.585.953,1308892.0,65452.0,184888.0,26721.0,1585953.0
2015,Ngày 31 tháng 12 năm 2015 > 2015,2015,2015,2015,2015,2015,2015,2015.0,2015.0,2015.0,2015.0,2015.0
Doanh thu,Ngày 31 tháng 12 năm 2015 > Doanh thu,Doanh thu,8.256.804,1.459.155,4.813.792,208.500,14.738.251,8256804.0,1459155.0,4813792.0,208500.0,14738251.0
Chi phí,Ngày 31 tháng 12 năm 2015 > Chi phí,Chi phí,5.735.055,1.324.200,4.343.372,184.586,11.587.213,5735055.0,1324200.0,4343372.0,184586.0,11587213.0
Lợi nhuận trước thuế,Ngày 31 tháng 12 năm 2015 > Lợi nhuận trước thuế,Lợi nhuận trước thuế,2.521.749,134.955,470.420,23.914,3.151.038,2521749.0,134955.0,470420.0,23914.0,3151038.0
