row_label_raw,row_label_full,Vay dài hạn
I. Vay ngân hàng,I. Vay ngân hàng,I. Vay ngân hàng
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Sở Giao dịch I (i),Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Sở Giao dịch I (i),Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Sở Giao dịch I (i)
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Hải Dương (ii),Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Hải Dương (ii),Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Hải Dương (ii)
Ngân hàng TMCP Công thương Việt Nam - CN Hải Dương (iii),Ngân hàng TMCP Công thương Việt Nam - CN Hải Dương (iii),Ngân hàng TMCP Công thương Việt Nam - CN Hải Dương (iii)
Ngân hàng TMCP Công thương Việt Nam - CN KCN Hải Dương (iv),Ngân hàng TMCP Công thương Việt Nam - CN KCN Hải Dương (iv),Ngân hàng TMCP Công thương Việt Nam - CN KCN Hải Dương (iv)
Ngân hàng TMCP Việt Nam Thịnh Vượng (v),Ngân hàng TMCP Việt Nam Thịnh Vượng (v),Ngân hàng TMCP Việt Nam Thịnh Vượng (v)
Ngân hàng TMCP Xăng dầu Petrolímex - CN Hải Dương (vi),Ngân hàng TMCP Xăng dầu Petrolímex - CN Hải Dương (vi),Ngân hàng TMCP Xăng dầu Petrolímex - CN Hải Dương (vi)
II. Trái phiếu phát hành,II. Trái phiếu phát hành,II. Trái phiếu phát hành
Ngân hàng TMCP Quốc tế Việt Nam,Ngân hàng TMCP Quốc tế Việt Nam,Ngân hàng TMCP Quốc tế Việt Nam
Ngân hàng TMCP Công thương Việt Nam - CN Hải Dương (vii),Ngân hàng TMCP Công thương Việt Nam - CN Hải Dương (vii),Ngân hàng TMCP Công thương Việt Nam - CN Hải Dương (vii)
Ngân hàng TMCP Công thương Việt Nam - CN KCN Hải Dương (viii),Ngân hàng TMCP Công thương Việt Nam - CN KCN Hải Dương (viii),Ngân hàng TMCP Công thương Việt Nam - CN KCN Hải Dương (viii)
Công ty TNHH Chứng khodn Shinhan Việt Nam (ix),Công ty TNHH Chứng khodn Shinhan Việt Nam (ix),Công ty TNHH Chứng khodn Shinhan Việt Nam (ix)
Công ty Shinhan Investment Corp (x),Công ty Shinhan Investment Corp (x),Công ty Shinhan Investment Corp (x)
Keb Hana Bank - Chi nhánh thành phố Hồ Chí Minh (xi),Keb Hana Bank - Chi nhánh thành phố Hồ Chí Minh (xi),Keb Hana Bank - Chi nhánh thành phố Hồ Chí Minh (xi)
III. Vay tổ chức,III. Vay tổ chức,III. Vay tổ chức
Công ty TNHH Dương Phạm Investment,Công ty TNHH Dương Phạm Investment,Công ty TNHH Dương Phạm Investment
Công ty TNHH Đầu tư Việt và Dương,Công ty TNHH Đầu tư Việt và Dương,Công ty TNHH Đầu tư Việt và Dương
Công ty TNHH Đầu tư Trung và Hòa,Công ty TNHH Đầu tư Trung và Hòa,Công ty TNHH Đầu tư Trung và Hòa
IV. Vay cá nhân,IV. Vay cá nhân,IV. Vay cá nhân
Vay cá nhân,Vay cá nhân,Vay cá nhân
Cộng,Cộng,Cộng
