row_label_raw,row_label_full,CHỈ TIỀU,CHỈ TIỀU_1,CHỈ TIỀU_2,CHỈ TIỀU_3,numeric__CHỈ TIỀU_1,numeric__CHỈ TIỀU_2,numeric__CHỈ TIỀU_3
,,,Mã số,Năm nay,Đơn vị: VNDNăm trước,,,
1. Lưu chuyển tiền từ hoạt động kinh doanh,1. Lưu chuyển tiền từ hoạt động kinh doanh,1. Lưu chuyển tiền từ hoạt động kinh doanh,1. Lưu chuyển tiền từ hoạt động kinh doanh,1. Lưu chuyển tiền từ hoạt động kinh doanh,1. Lưu chuyển tiền từ hoạt động kinh doanh,,,
1. Lợi nhuận trước thuế,1. Lưu chuyển tiền từ hoạt động kinh doanh > 1. Lợi nhuận trước thuế,1. Lợi nhuận trước thuế,01,253.984.323.184,328.054.307.275,1.0,253984323184.0,328054307275.0
2. Diều chính cho các khoản,2. Diều chính cho các khoản,2. Diều chính cho các khoản,2. Diều chính cho các khoản,2. Diều chính cho các khoản,2. Diều chính cho các khoản,,,
- Khẩu hao TSCĐ và BDSDT,2. Diều chính cho các khoản > - Khẩu hao TSCĐ và BDSDT,- Khẩu hao TSCĐ và BDSDT,02,244.951.380.881,168.028.491.091,2.0,244951380881.0,168028491091.0
- Các khoản dự phòng,2. Diều chính cho các khoản > - Các khoản dự phòng,- Các khoản dự phòng,03,2.750.517.531,-,3.0,2750517531.0,
"- Lãi, lỗ chênh lệch tỷ giá hối đoài do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","2. Diều chính cho các khoản > - Lãi, lỗ chênh lệch tỷ giá hối đoài do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","- Lãi, lỗ chênh lệch tỷ giá hối đoài do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,1.909.941.812,2.615.280.443,4.0,1909941812.0,2615280443.0
"- Lãi, lỗ từ hoạt động đầu tư","2. Diều chính cho các khoản > - Lãi, lỗ từ hoạt động đầu tư","- Lãi, lỗ từ hoạt động đầu tư",05,(40.198.487.758),(36.302.695.230),5.0,-40198487758.0,-36302695230.0
- Chỉ phí lãi vay,2. Diều chính cho các khoản > - Chỉ phí lãi vay,- Chỉ phí lãi vay,06,125.980.474.352,80.592.049.351,6.0,125980474352.0,80592049351.0
- Các khoản điều chỉnh khác,2. Diều chính cho các khoản > - Các khoản điều chỉnh khác,- Các khoản điều chỉnh khác,07,-,,7.0,,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,2. Diều chính cho các khoản > 3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,589.378.150.002,542.987.432.930,8.0,589378150002.0,542987432930.0
"- Tăng, giảm các khoản phải thu","2. Diều chính cho các khoản > - Tăng, giảm các khoản phải thu","- Tăng, giảm các khoản phải thu",09,(52.240.057.820),(571.052.443.106),9.0,-52240057820.0,-571052443106.0
"- Tăng, giảm hàng tồn kho","2. Diều chính cho các khoản > - Tăng, giảm hàng tồn kho","- Tăng, giảm hàng tồn kho",10,(329.364.330.177),(86.090.443.336),10.0,-329364330177.0,-86090443336.0
"- Tăng, giảm các khoản phải trả","2. Diều chính cho các khoản > - Tăng, giảm các khoản phải trả","- Tăng, giảm các khoản phải trả",11,10.950.476.407,35.067.814.485,11.0,10950476407.0,35067814485.0
"- Tăng, giảm chỉ phí trả trước","2. Diều chính cho các khoản > - Tăng, giảm chỉ phí trả trước","- Tăng, giảm chỉ phí trả trước",12,(29.044.239.788),(10.902.229.447),12.0,-29044239788.0,-10902229447.0
"- Tăng, giảm chứng khoán kinh doanh","2. Diều chính cho các khoản > - Tăng, giảm chứng khoán kinh doanh","- Tăng, giảm chứng khoán kinh doanh",13,-,,13.0,,
- Tiền lãi vay đã trả,2. Diều chính cho các khoản > - Tiền lãi vay đã trả,- Tiền lãi vay đã trả,14,(124.095.548.599),(76.736.436.738),14.0,-124095548599.0,-76736436738.0
- Thuế thu nhập doanh nghiệp đã nộp,2. Diều chính cho các khoản > - Thuế thu nhập doanh nghiệp đã nộp,- Thuế thu nhập doanh nghiệp đã nộp,15,(46.142.737.521),(57.458.213.418),15.0,-46142737521.0,-57458213418.0
- Tiền thu khác từ hoạt động kinh doanh,2. Diều chính cho các khoản > - Tiền thu khác từ hoạt động kinh doanh,- Tiền thu khác từ hoạt động kinh doanh,16,70.000.000.000,156.340.055.694,16.0,70000000000.0,156340055694.0
- Tiền chỉ khác cho hoạt động kinh doanh,2. Diều chính cho các khoản > - Tiền chỉ khác cho hoạt động kinh doanh,- Tiền chỉ khác cho hoạt động kinh doanh,17,(50.900.934.560),(12.819.141.106),17.0,-50900934560.0,-12819141106.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,2. Diều chính cho các khoản > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,38.540.777.944,(80.663.604.042),20.0,38540777944.0,-80663604042.0
I. Lưu chuyển tiền từ hoạt động đầu tư,I. Lưu chuyển tiền từ hoạt động đầu tư,I. Lưu chuyển tiền từ hoạt động đầu tư,I. Lưu chuyển tiền từ hoạt động đầu tư,I. Lưu chuyển tiền từ hoạt động đầu tư,I. Lưu chuyển tiền từ hoạt động đầu tư,,,
"- Tiền chỉ để mua sắm, xây dựng tài sản cố định và các TSDH khác","I. Lưu chuyển tiền từ hoạt động đầu tư > - Tiền chỉ để mua sắm, xây dựng tài sản cố định và các TSDH khác","- Tiền chỉ để mua sắm, xây dựng tài sản cố định và các TSDH khác",21,(1.698.518.453.380),(695.959.760.341),21.0,-1698518453380.0,-695959760341.0
"- Tiền thu từ thanh lý, nhượng bán tài sản cố định và các TSDH khác","I. Lưu chuyển tiền từ hoạt động đầu tư > - Tiền thu từ thanh lý, nhượng bán tài sản cố định và các TSDH khác","- Tiền thu từ thanh lý, nhượng bán tài sản cố định và các TSDH khác",22,-,486.363.637,22.0,,486363637.0
"- Tiền chỉ cho vay, mua các công cụ nợ của đơn vị khác","I. Lưu chuyển tiền từ hoạt động đầu tư > - Tiền chỉ cho vay, mua các công cụ nợ của đơn vị khác","- Tiền chỉ cho vay, mua các công cụ nợ của đơn vị khác",23,(1.226.962.062.976),(349.729.000.000),23.0,-1226962062976.0,-349729000000.0
"- Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","I. Lưu chuyển tiền từ hoạt động đầu tư > - Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","- Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,343.706.433.033,183.570.000.000,24.0,343706433033.0,183570000000.0
- Tiền chỉ đầu tư góp vốn vào đơn vị khác,I. Lưu chuyển tiền từ hoạt động đầu tư > - Tiền chỉ đầu tư góp vốn vào đơn vị khác,- Tiền chỉ đầu tư góp vốn vào đơn vị khác,25,(88.309.009.946),-,25.0,-88309009946.0,
- Tiền thu hồi đầu tư góp vốn vào đơn vị khác,I. Lưu chuyển tiền từ hoạt động đầu tư > - Tiền thu hồi đầu tư góp vốn vào đơn vị khác,- Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,18.325.718.550,150.547.322.000,26.0,18325718550.0,150547322000.0
"- Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","I. Lưu chuyển tiền từ hoạt động đầu tư > - Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","- Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,23.529.713.725,12.513.190.829,27.0,23529713725.0,12513190829.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,I. Lưu chuyển tiền từ hoạt động đầu tư > Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,(2.628.227.660.994),(698.571.883.875),30.0,-2628227660994.0,-698571883875.0
II. Lưu chuyển tiền từ hoạt động tài chính,II. Lưu chuyển tiền từ hoạt động tài chính,II. Lưu chuyển tiền từ hoạt động tài chính,II. Lưu chuyển tiền từ hoạt động tài chính,II. Lưu chuyển tiền từ hoạt động tài chính,II. Lưu chuyển tiền từ hoạt động tài chính,,,
"- Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu","II. Lưu chuyển tiền từ hoạt động tài chính > - Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu","- Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,1.418.241.802.000,406.752.500.000,31.0,1418241802000.0,406752500000.0
- Tiền thu từ đi vay,II. Lưu chuyển tiền từ hoạt động tài chính > - Tiền thu từ đi vay,- Tiền thu từ đi vay,33,7.841.445.629.972,4.109.992.694.442,33.0,7841445629972.0,4109992694442.0
- Tiền trả nợ gốc vay,II. Lưu chuyển tiền từ hoạt động tài chính > - Tiền trả nợ gốc vay,- Tiền trả nợ gốc vay,34,(6.397.797.068.409),(3.534.755.293.294),34.0,-6397797068409.0,-3534755293294.0
"- Cổ tức, lợi nhuận đã trả cho chủ sở hữu","II. Lưu chuyển tiền từ hoạt động tài chính > - Cổ tức, lợi nhuận đã trả cho chủ sở hữu","- Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,(136.131.874.500),(99.782.597.750),36.0,-136131874500.0,-99782597750.0
Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,,,
- Lưu chuyển tiền thuần trong năm (50 = 20 + 30 + 40),Lưu chuyển tiền thuần từ hoạt động tài chính > - Lưu chuyển tiền thuần trong năm (50 = 20 + 30 + 40),- Lưu chuyển tiền thuần trong năm (50 = 20 + 30 + 40),40,2.725.758.489.063,882.207.303.398,40.0,2725758489063.0,882207303398.0
- Seň và tương đương sistema đầu năm,Lưu chuyển tiền thuần từ hoạt động tài chính > - Seň và tương đương sistema đầu năm,- Seň và tương đương sistema đầu năm,50,136.071.606.013,102.971.815.481,50.0,136071606013.0,102971815481.0
- Growth hướng của thay đổi tỷ giá hối đoài quy đổi ngoại tệ,Lưu chuyển tiền thuần từ hoạt động tài chính > - Growth hướng của thay đổi tỷ giá hối đoài quy đổi ngoại tệ,- Growth hướng của thay đổi tỷ giá hối đoài quy đổi ngoại tệ,60,509.577.636.533,406.676.809.154,60.0,509577636533.0,406676809154.0
- Seň và tương đương tiền cuối năm (70 = 50 + 60 + 61),Lưu chuyển tiền thuần từ hoạt động tài chính > - Seň và tương đương tiền cuối năm (70 = 50 + 60 + 61),- Seň và tương đương tiền cuối năm (70 = 50 + 60 + 61),61,(174.399.121),(70.988.102),61.0,-174399121.0,-70988102.0
