row_label_raw,row_label_full,col_0,Sản suấtVND,Thương mạiVND,Dịch vụVND,Loại trừVND,Tổng cộngVND,numeric__Sản suấtVND,numeric__Thương mạiVND,numeric__Dịch vụVND,numeric__Loại trừVND,numeric__Tổng cộngVND
Tài sản bộ phậnSố cuối năm,Tài sản bộ phậnSố cuối năm,Tài sản bộ phậnSố cuối năm,Tài sản bộ phậnSố cuối năm,Tài sản bộ phậnSố cuối năm,Tài sản bộ phậnSố cuối năm,Tài sản bộ phậnSố cuối năm,Tài sản bộ phậnSố cuối năm,,,,,
Tài sản bộ phận,Tài sản bộ phậnSố cuối năm > Tài sản bộ phận,Tài sản bộ phận,8.139.672.451.604,1.575.987.754.710,148.958.072.698,(2.335.451.556.609),7.529.166.722.403,8139672451604.0,1575987754710.0,148958072698.0,-2335451556609.0,7529166722403.0
Nợ phải trả bộ phận,Tài sản bộ phậnSố cuối năm > Nợ phải trả bộ phận,Nợ phải trả bộ phận,3.796.134.821.813,1.304.776.630.866,39.342.586.775,(591.337.465.742),4.548.916.573.712,3796134821813.0,1304776630866.0,39342586775.0,-591337465742.0,4548916573712.0
Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,,
Tài sản bộ phận,Số đầu năm > Tài sản bộ phận,Tài sản bộ phận,4.423.168.809.984,448.212.460.639,133.252.438.824,(428.476.580.648),4.576.157.128.799,4423168809984.0,448212460639.0,133252438824.0,-428476580648.0,4576157128799.0
Nợ phải trả bộ phận,Số đầu năm > Nợ phải trả bộ phận,Nợ phải trả bộ phận,2.771.213.423.053,334.753.621.268,27.375.992.543,(182.156.196.687),2.951.186.840.177,2771213423053.0,334753621268.0,27375992543.0,-182156196687.0,2951186840177.0
Kết quả kinh doanh bộ phậnNăm nayDoanh thu,Kết quả kinh doanh bộ phậnNăm nayDoanh thu,Kết quả kinh doanh bộ phậnNăm nayDoanh thu,Kết quả kinh doanh bộ phậnNăm nayDoanh thu,Kết quả kinh doanh bộ phậnNăm nayDoanh thu,Kết quả kinh doanh bộ phậnNăm nayDoanh thu,Kết quả kinh doanh bộ phậnNăm nayDoanh thu,Kết quả kinh doanh bộ phậnNăm nayDoanh thu,,,,,
Doanh thu thuần,Kết quả kinh doanh bộ phậnNăm nayDoanh thu > Doanh thu thuần,Doanh thu thuần,5.518.369.634.757,4.610.033.633.728,185.212.181.871,(2.302.042.836.967),8.011.572.613.389,5518369634757.0,4610033633728.0,185212181871.0,-2302042836967.0,8011572613389.0
Kết quả hoạt động kinh doanh,Kết quả kinh doanh bộ phậnNăm nayDoanh thu > Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,203.904.294.818,6.081.765.868,8.267.095.213,(6.104.242.338),212.148.913.561,203904294818.0,6081765868.0,8267095213.0,-6104242338.0,212148913561.0
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,
Doanh thu thuần,Năm trước > Doanh thu thuần,Doanh thu thuần,4.093.197.487.373,794.486.443.629,87.442.964.010,(905.518.591.871),4.069.608.303.141,4093197487373.0,794486443629.0,87442964010.0,-905518591871.0,4069608303141.0
Kết quả hoạt động kinh doanh,Năm trước > Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,294.145.445.206,13.458.839.371,5.280.555.706,(49.520.734.327),263.364.105.956,294145445206.0,13458839371.0,5280555706.0,-49520734327.0,263364105956.0
