row_label_raw,row_label_full,Vay ngắn hạn
I. Vay ngắn hàng,I. Vay ngắn hàng,I. Vay ngắn hàng
Ngân hàng TMCP Công thương Việt Nam - CN Hải Dương (i),Ngân hàng TMCP Công thương Việt Nam - CN Hải Dương (i),Ngân hàng TMCP Công thương Việt Nam - CN Hải Dương (i)
Ngân hàng TMCP Công thương Việt Nam - CN KCN Hải Dương (ii),Ngân hàng TMCP Công thương Việt Nam - CN KCN Hải Dương (ii),Ngân hàng TMCP Công thương Việt Nam - CN KCN Hải Dương (ii)
Ngân hàng TMCP Xăng dầu Petrolimex - CN Hải Dương (iii),Ngân hàng TMCP Xăng dầu Petrolimex - CN Hải Dương (iii),Ngân hàng TMCP Xăng dầu Petrolimex - CN Hải Dương (iii)
Ngân hàng TMCP Ngoại thương Việt Nam - CN Hải Dương (iv),Ngân hàng TMCP Ngoại thương Việt Nam - CN Hải Dương (iv),Ngân hàng TMCP Ngoại thương Việt Nam - CN Hải Dương (iv)
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Sô Giao dịch I (v),Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Sô Giao dịch I (v),Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Sô Giao dịch I (v)
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Hải Dương (vi),Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Hải Dương (vi),Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Hải Dương (vi)
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Hà Thành (vii),Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Hà Thành (vii),Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Hà Thành (vii)
Ngân hàng TMCP Quân đội - CN Hải Dương (viii),Ngân hàng TMCP Quân đội - CN Hải Dương (viii),Ngân hàng TMCP Quân đội - CN Hải Dương (viii)
Ngân hàng TNHH MTV Hong Leong Việt Nam - CN Hà Nội (ix),Ngân hàng TNHH MTV Hong Leong Việt Nam - CN Hà Nội (ix),Ngân hàng TNHH MTV Hong Leong Việt Nam - CN Hà Nội (ix)
Ngân hàng TMCP Việt Nam Thịnh Vượng,Ngân hàng TMCP Việt Nam Thịnh Vượng,Ngân hàng TMCP Việt Nam Thịnh Vượng
Ngân hàng TMCP Kỹ thương - CN Hải Dương (x),Ngân hàng TMCP Kỹ thương - CN Hải Dương (x),Ngân hàng TMCP Kỹ thương - CN Hải Dương (x)
Ngân hàng Bangkok Đại chứng TNHH - CN Hà Nội (xi),Ngân hàng Bangkok Đại chứng TNHH - CN Hà Nội (xi),Ngân hàng Bangkok Đại chứng TNHH - CN Hà Nội (xi)
Ngân hàng TMCP Phương Đông - CN Thắng Long (xii),Ngân hàng TMCP Phương Đông - CN Thắng Long (xii),Ngân hàng TMCP Phương Đông - CN Thắng Long (xii)
Ngân hàng TNHH MTV Shinhan Việt Nam - CN Hà Nội (xiii),Ngân hàng TNHH MTV Shinhan Việt Nam - CN Hà Nội (xiii),Ngân hàng TNHH MTV Shinhan Việt Nam - CN Hà Nội (xiii)
IL Vay tổ chức,IL Vay tổ chức,IL Vay tổ chức
Công ty CP Tập đoàn An Phát Holdings,Công ty CP Tập đoàn An Phát Holdings,Công ty CP Tập đoàn An Phát Holdings
III. Vay cá nhân,III. Vay cá nhân,III. Vay cá nhân
Vay cá nhân,Vay cá nhân,Vay cá nhân
Cộng,Cộng,Cộng
Trong đó vay các bên liên quan(Chi tiết tại thuyết minh số 35),Trong đó vay các bên liên quan(Chi tiết tại thuyết minh số 35),Trong đó vay các bên liên quan(Chi tiết tại thuyết minh số 35)
