row_label_raw,row_label_full,Số cuối năm,Dưới 1 nămVND > Số cuối năm,Từ 1 - 5 nămVND > Số cuối năm,TổngVND > Số cuối năm,numeric__Dưới 1 nămVND > Số cuối năm,numeric__Từ 1 - 5 nămVND > Số cuối năm,numeric__TổngVND > Số cuối năm
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,645.474.843.425,-,645.474.843.425,645474843425.0,,645474843425.0
Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,1.021.400.537.596,17.770.643.000,1.039.171.180.596,1021400537596.0,17770643000.0,1039171180596.0
Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,720.906.460.274,-,720.906.460.274,720906460274.0,,720906460274.0
Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,-,48.380.000.000,48.380.000.000,,48380000000.0,48380000000.0
Các khoản ký quỹ,Các khoản ký quỹ,Các khoản ký quỹ,14.530.367.277,3.613.709.467,18.144.076.744,14530367277.0,3613709467.0,18144076744.0
Cộng,Cộng,Cộng,2.402.312.208.572,69.764.352.467,2.472.076.561.039,2402312208572.0,69764352467.0,2472076561039.0
Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,,,
Các khoản vay,Số cuối năm > Các khoản vay,Các khoản vay,2.492.406.692.801,1.342.803.889.822,3.835.210.582.623,2492406692801.0,1342803889822.0,3835210582623.0
Phải trả người bán và phải trả khác,Số cuối năm > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,626.070.865.412,-,626.070.865.412,626070865412.0,,626070865412.0
Chi phí phải trả,Số cuối năm > Chi phí phải trả,Chi phí phải trả,8.985.258.785,-,8.985.258.785,8985258785.0,,8985258785.0
Cộng,Số cuối năm > Cộng,Cộng,3.127.462.816.998,1.342.803.889.822,4.470.266.706.820,3127462816998.0,1342803889822.0,4470266706820.0
Chênh lệch thanh khoản thuần,Số cuối năm > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,(725.150.608.426),(1.273.039.537.355),(1.998.190.145.781),-725150608426.0,-1273039537355.0,-1998190145781.0
Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,,,
Tiền và các khoản tương đương tiền,Số đầu năm > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,509.577.636.533,-,509.577.636.533,509577636533.0,,509577636533.0
Phải thu khách hàng và phải thu khác,Số đầu năm > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,585.320.291.771,-,585.320.291.771,585320291771.0,,585320291771.0
Đầu tư tài chính ngắn hạn,Số đầu năm > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,50.000.000.000,-,50.000.000.000,50000000000.0,,50000000000.0
Các khoản ký quỹ,Số đầu năm > Các khoản ký quỹ,Các khoản ký quỹ,8.397.708.165,-,8.397.708.165,8397708165.0,,8397708165.0
Cộng,Số đầu năm > Cộng,Cộng,1.153.295.636.469,-,1.153.295.636.469,1153295636469.0,,1153295636469.0
Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,,,
Các khoản vay,Số đầu năm > Các khoản vay,Các khoản vay,1.417.686.392.234,959.926.578.352,2.377.612.970.586,1417686392234.0,959926578352.0,2377612970586.0
Phải trả người bán và phải trả khác,Số đầu năm > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,522.000.369.892,-,522.000.369.892,522000369892.0,,522000369892.0
Chi phí phải trả,Số đầu năm > Chi phí phải trả,Chi phí phải trả,6.422.195.946,-,6.422.195.946,6422195946.0,,6422195946.0
Cộng,Số đầu năm > Cộng,Cộng,1.946.108.958.072,959.926.578.352,2.906.035.536.424,1946108958072.0,959926578352.0,2906035536424.0
Chênh lệch thanh khoản thuần,Số đầu năm > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,(792.813.321.603),(959.926.578.352),(1.752.739.899.955),-792813321603.0,-959926578352.0,-1752739899955.0
