row_label_raw,row_label_full,Trái phiếu,Ngày mua,Kỳ hạn,Mệnh giá,numeric__Ngày mua,numeric__Kỳ hạn,numeric__Mệnh giá
,,,,,VND,,,
Ngân hàng TMCP Công thương Việt Nam,Ngân hàng TMCP Công thương Việt Nam,Ngân hàng TMCP Công thương Việt Nam,29/06/2018,10 năm,40.000.000.000,,,40000000000.0
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,19/12/2018,07 năm,8.380.000.000,,,8380000000.0
Cộng,Cộng,Cộng,,,48.380.000.000,,,48380000000.0
