row_label_raw,row_label_full,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Chênh lệch tỷ giá hối đoai,Quỹ đầu tư phát triển,Quỹ khác của vốn chủ sở hữu,LNST chưa phân phối,Lợi ích cổ đông không kiểm soát,Cộng,numeric__Thặng dư vốn cổ phần,numeric__Chênh lệch tỷ giá hối đoai,numeric__Quỹ đầu tư phát triển,numeric__Quỹ khác của vốn chủ sở hữu,numeric__LNST chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Cộng
VND,VND,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,
569.649.880.000,VND > 569.649.880.000,569.649.880.000,160.721.267.329,205.250.085,38.274.886.929,13.177.404.323,161.862.080.186,10.861.333.472,954.752.102.324,160721267329.0,205250085.0,38274886929.0,13177404323.0,161862080186.0,10861333472.0,954752102324.0
266.350.000.000,VND > 266.350.000.000,266.350.000.000,37.402.500.000,,,,,184.000.000.000,487.752.500.000,37402500000.0,,,,,184000000000.0,487752500000.0
,,,,,,,223.342.661.746,40.021.444.210,263.364.105.956,,,,,223342661746.0,40021444210.0,263364105956.0
,,,,,7.408.774.788,,(19.793.829.807),(385.364.122),(12.770.419.141),,,7408774788.0,,-19793829807.0,-385364122.0,-12770419141.0
,,,,,,,(86.592.841.500),(13.200.000.000),(99.792.841.500),,,,,-86592841500.0,-13200000000.0,-99792841500.0
,,,,,,,(2.996.278.188),2.996.278.188,,,,,,-2996278188.0,2996278188.0,
,,,,,,,464.330.318,386.941.931,851.272.249,,,,,464330318.0,386941931.0,851272249.0
,,,,,,,7.483.452.545,23.436.547.455,30.920.000.000,,,,,7483452545.0,23436547455.0,30920000000.0
,,,(60.000.000),(46.431.266),,,,,(106.431.266),-60000000.0,-46431266.0,,,,,-106431266.0
835.999.880.000,VND > 835.999.880.000,835.999.880.000,198.063.767.329,158.818.819,45.683.661.717,13.177.404.323,283.769.575.300,248.117.181.134,1.624.970.288.622,198063767329.0,158818819.0,45683661717.0,13177404323.0,283769575300.0,248117181134.0,1624970288622.0
875.999.880.000,VND > 875.999.880.000,875.999.880.000,334.048.922.000,,,,,203.193.000.000,1.413.241.802.000,334048922000.0,,,,,203193000000.0,1413241802000.0
,,,,,,,180.260.475.000,31.888.438.561,212.148.913.561,,,,,180260475000.0,31888438561.0,212148913561.0
,,,,,12.091.721.427,,(59.618.127.387),(3.972.632.642),(51.499.038.602),,,12091721427.0,,-59618127387.0,-3972632642.0,-51499038602.0
,,,,,,,(125.399.982.000),,(125.399.982.000),,,,,-125399982000.0,,-125399982000.0
,,,,,,,,(10.760.000.000),(10.760.000.000),,,,,,-10760000000.0,-10760000000.0
,,,,,,,(14.748.856.452),(67.542.395.548),(82.291.252.000),,,,,-14748856452.0,-67542395548.0,-82291252000.0
,,,,,,,1.606.930.252,(1.606.930.252),,,,,,1606930252.0,-1606930252.0,
,,,,,,,(9.880.049),9.880.049,,,,,,-9880049.0,9880049.0,
,,,,(469.358.260),,,,,(469.358.260),,-469358260.0,,,,,-469358260.0
,,,,(158.818.819),,,,37.951.172,(120.867.647),,-158818819.0,,,,37951172.0,-120867647.0
,,,,429.643.017,,,,,429.643.017,,429643017.0,,,,,429643017.0
1.711.999.760.000,VND > 1.711.999.760.000,1.711.999.760.000,532.112.689.329,(39.715.243),57.775.383.144,13.177.404.323,265.860.134.664,399.364.492.474,2.980.250.148.691,532112689329.0,-39715243.0,57775383144.0,13177404323.0,265860134664.0,399364492474.0,2980250148691.0
