row_label_raw,row_label_full,Tên công ty,Nơi thành lập và hoạt động,Tỷ lệ phần sở hữu %,Tỷ lệ quyền biểu quyết nắm giữ %,Hoạt động chính,numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ phần sở hữu %,numeric__Tỷ lệ quyền biểu quyết nắm giữ %,numeric__Hoạt động chính
Công ty Cổ phần An Tiến Industries (HII),Công ty Cổ phần An Tiến Industries (HII),Công ty Cổ phần An Tiến Industries (HII),Yên Bái,"50,99","50,99","Sản xuất sản phẩm từ nhựa plastic, chi tiết sản xuất sản phẩm nhựa",,50.99,50.99,
Công ty TNHH Khu công nghiệp Kỹ thuật cao An Phát,Công ty TNHH Khu công nghiệp Kỹ thuật cao An Phát,Công ty TNHH Khu công nghiệp Kỹ thuật cao An Phát,Hải Dương,100,100,Phát triển hạ tầng khu công nghiệp,,100.0,100.0,
