row_label_raw,row_label_full,Dầu tư nấm giữ đến ngày đầu hạn,Số cuối năm > Giá gốcVND > Dầu tư nấm giữ đến ngày đầu hạn,Số cuối năm > Giá trị ghi sốVND > Dầu tư nấm giữ đến ngày đầu hạn,Số đầu năm > Giá gốcVND > Dầu tư nấm giữ đến ngày đầu hạn,Số đầu năm > Giá trị ghi sốVND > Dầu tư nấm giữ đến ngày đầu hạn,numeric__Số cuối năm > Giá gốcVND > Dầu tư nấm giữ đến ngày đầu hạn,numeric__Số cuối năm > Giá trị ghi sốVND > Dầu tư nấm giữ đến ngày đầu hạn,numeric__Số đầu năm > Giá gốcVND > Dầu tư nấm giữ đến ngày đầu hạn,numeric__Số đầu năm > Giá trị ghi sốVND > Dầu tư nấm giữ đến ngày đầu hạn
Ngắn hạn,Ngắn hạn,Ngắn hạn,720.906.460.274,720.906.460.274,50.000.000.000,50.000.000.000,720906460274.0,720906460274.0,50000000000.0,50000000000.0
- Tiền gửi có kỳ hạn (i),- Tiền gửi có kỳ hạn (i),- Tiền gửi có kỳ hạn (i),360.006.460.274,360.006.460.274,-,-,360006460274.0,360006460274.0,,
- Các khoản đầu tư khác (ii),- Các khoản đầu tư khác (ii),- Các khoản đầu tư khác (ii),360.900.000.000,360.900.000.000,50.000.000.000,50.000.000.000,360900000000.0,360900000000.0,50000000000.0,50000000000.0
Dải hạn,Dải hạn,Dải hạn,48.380.000.000,48.380.000.000,-,-,48380000000.0,48380000000.0,,
- Trái phiếu (iii),- Trái phiếu (iii),- Trái phiếu (iii),48.380.000.000,48.380.000.000,-,-,48380000000.0,48380000000.0,,
Cộng,Cộng,Cộng,769.286.460.274,769.286.460.274,50.000.000.000,50.000.000.000,769286460274.0,769286460274.0,50000000000.0,50000000000.0
