row_label_raw,row_label_full,col_0,Giá trị ghi sổ > Số cuối năm,Giá trị ghi sổ > Số đầu năm,numeric__Giá trị ghi sổ > Số cuối năm,numeric__Giá trị ghi sổ > Số đầu năm
,,,VND,VND,,
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,645.474.843.425,509.577.636.533,645474843425.0,509577636533.0
Phải thu khách hàng và phải thu khác,Tài sản tài chính > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,1.039.171.180.596,585.320.291.771,1039171180596.0,585320291771.0
Đầu tư tài chính ngắn hạn,Tài sản tài chính > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,720.906.460.274,50.000.000.000,720906460274.0,50000000000.0
Đầu tư tài chính dài hạn,Tài sản tài chính > Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,48.380.000.000,-,48380000000.0,
Các khoản ký quỹ,Tài sản tài chính > Các khoản ký quỹ,Các khoản ký quỹ,18.144.076.744,8.397.708.165,18144076744.0,8397708165.0
Cộng,Tài sản tài chính > Cộng,Cộng,2.472.076.561.039,1.153.295.636.469,2472076561039.0,1153295636469.0
Cộng nợ tài chính,Cộng nợ tài chính,Cộng nợ tài chính,Cộng nợ tài chính,Cộng nợ tài chính,,
Các khoản vay,Cộng nợ tài chính > Các khoản vay,Các khoản vay,3.835.210.582.623,2.377.612.970.586,3835210582623.0,2377612970586.0
Phải trả người bán và phải trả khác,Cộng nợ tài chính > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,626.070.865.412,522.000.369.892,626070865412.0,522000369892.0
Chi phí phải trả,Cộng nợ tài chính > Chi phí phải trả,Chi phí phải trả,8.985.258.785,6.422.195.946,8985258785.0,6422195946.0
Cộng,Cộng nợ tài chính > Cộng,Cộng,4.470.266.706.820,2.906.035.536.424,4470266706820.0,2906035536424.0
