row_label_raw,row_label_full,col_0,Số cổ phiếu phổ thông bình quân gia quyền (Cổ phiếu),Lãi cơ bản trên cổ phiếu VND,numeric__Số cổ phiếu phổ thông bình quân gia quyền (Cổ phiếu),numeric__Lãi cơ bản trên cổ phiếu VND
Số báo cáo trước đây,Số báo cáo trước đây,Số báo cáo trước đây,75.936.902,2.349,75936902.0,2349.0
Ảnh hưởng của việc phát hành cổ phiếu cho cổ đông hiện hữu từ nguồn vốn chủ sở hữu,Ảnh hưởng của việc phát hành cổ phiếu cho cổ đông hiện hữu từ nguồn vốn chủ sở hữu,Ảnh hưởng của việc phát hành cổ phiếu cho cổ đông hiện hữu từ nguồn vốn chủ sở hữu,11.390.386,(306),11390386.0,-306.0
Điều chỉnh cho ảnh hưởng của việc phát hành cổ phiếu cho cổ đông hiện hữu theo mệnh giá thấp hơn giá thị trường,Điều chỉnh cho ảnh hưởng của việc phát hành cổ phiếu cho cổ đông hiện hữu theo mệnh giá thấp hơn giá thị trường,Điều chỉnh cho ảnh hưởng của việc phát hành cổ phiếu cho cổ đông hiện hữu theo mệnh giá thấp hơn giá thị trường,4.830.277,(107),4830277.0,-107.0
Số đã điều chỉnh lại,Số đã điều chỉnh lại,Số đã điều chỉnh lại,92.157.565,1.936,92157565.0,1936.0
