row_label_raw,row_label_full,col_0,Địa chỉ,31/12/2018,31/12/2018_1,1/1/2018,1/1/2018_1,numeric__Địa chỉ,numeric__31/12/2018,numeric__31/12/2018_1,numeric__1/1/2018,numeric__1/1/2018_1
,,,Địa chỉ,% sở hữu,Quyền biểu quyết,% sở hữu,Quyền biểu quyết,,,,,
Công ty con cấp 1,Công ty con cấp 1,Công ty con cấp 1,Công ty con cấp 1,Công ty con cấp 1,Công ty con cấp 1,Công ty con cấp 1,Công ty con cấp 1,,,,,
1 Công ty Cổ phần Hà Đô 1,Công ty con cấp 1 > 1 Công ty Cổ phần Hà Đô 1,1 Công ty Cổ phần Hà Đô 1,Hà Nội,51%,51%,51%,51%,,0.51,0.51,0.51,0.51
2 Công ty Cổ phần Hà Đô 23 (i),Công ty con cấp 1 > 2 Công ty Cổ phần Hà Đô 23 (i),2 Công ty Cổ phần Hà Đô 23 (i),Hà Nội,-,-,60%,60%,,,,0.6,0.6
3 Công ty Cổ phần Hà Đô 4 (ii),Công ty con cấp 1 > 3 Công ty Cổ phần Hà Đô 4 (ii),3 Công ty Cổ phần Hà Đô 4 (ii),TP. Hồ Chí Minh,-,-,51%,51%,,,,0.51,0.51
4 Công ty Cổ phần Hà Đô 45 (ii),Công ty con cấp 1 > 4 Công ty Cổ phần Hà Đô 45 (ii),4 Công ty Cổ phần Hà Đô 45 (ii),TP. Hồ Chí Minh,51%,51%,51%,51%,,0.51,0.51,0.51,0.51
5 Công ty Cổ phần Đầu tư Khánh Hà,Công ty con cấp 1 > 5 Công ty Cổ phần Đầu tư Khánh Hà,5 Công ty Cổ phần Đầu tư Khánh Hà,TP. Nha Trang,65%,65%,65%,65%,,0.65,0.65,0.65,0.65
6 Công ty Cổ phần Hà Đô - 756 Sài Gòn,Công ty con cấp 1 > 6 Công ty Cổ phần Hà Đô - 756 Sài Gòn,6 Công ty Cổ phần Hà Đô - 756 Sài Gòn,TP. Hồ Chí Minh,63%,63%,63%,63%,,0.63,0.63,0.63,0.63
7 Công ty Cổ phần Cơ điện Xây dựng - Thiết bị Công nghiệp Hà Đô,Công ty con cấp 1 > 7 Công ty Cổ phần Cơ điện Xây dựng - Thiết bị Công nghiệp Hà Đô,7 Công ty Cổ phần Cơ điện Xây dựng - Thiết bị Công nghiệp Hà Đô,Hà Nội,51%,51%,51%,51%,,0.51,0.51,0.51,0.51
8 Công ty Cổ phần Tư vấn Hà Đô (iii),Công ty con cấp 1 > 8 Công ty Cổ phần Tư vấn Hà Đô (iii),8 Công ty Cổ phần Tư vấn Hà Đô (iii),Hà Nội,-,-,51%,51%,,,,0.51,0.51
9 Công ty Cổ phần Za Hưng (iv),Công ty con cấp 1 > 9 Công ty Cổ phần Za Hưng (iv),9 Công ty Cổ phần Za Hưng (iv),Hà Nội,"51,75%","51,75%","51,75%","51,75%",,0.5175,0.5175,0.5175,0.5175
10 Công ty Cổ phần Hà Đô Bình Thuận,Công ty con cấp 1 > 10 Công ty Cổ phần Hà Đô Bình Thuận,10 Công ty Cổ phần Hà Đô Bình Thuận,Bình Thuận,75%,89%,75%,89%,,0.75,0.89,0.75,0.89
11 Công ty TNHH MTV Đầu tư Quốc tế Hà Đô,Công ty con cấp 1 > 11 Công ty TNHH MTV Đầu tư Quốc tế Hà Đô,11 Công ty TNHH MTV Đầu tư Quốc tế Hà Đô,"Viên Chăn, Lào",100%,100%,100%,100%,,1.0,1.0,1.0,1.0
12 Công ty TNHH MTV Kinh doanh và Môi giới Bất động sản Hà Đô (v),Công ty con cấp 1 > 12 Công ty TNHH MTV Kinh doanh và Môi giới Bất động sản Hà Đô (v),12 Công ty TNHH MTV Kinh doanh và Môi giới Bất động sản Hà Đô (v),Hà Nội,-,-,100%,100%,,,,1.0,1.0
13 Công ty TNHH MTV Quản lý - Vận hành - Khai thác Bất động sản Hà Đô (v),Công ty con cấp 1 > 13 Công ty TNHH MTV Quản lý - Vận hành - Khai thác Bất động sản Hà Đô (v),13 Công ty TNHH MTV Quản lý - Vận hành - Khai thác Bất động sản Hà Đô (v),TP. Hồ Chí Minh,100%,100%,100%,100%,,1.0,1.0,1.0,1.0
14 Công ty Cổ phần Đầu tư Bất động sản Bình An Riverside (vi),Công ty con cấp 1 > 14 Công ty Cổ phần Đầu tư Bất động sản Bình An Riverside (vi),14 Công ty Cổ phần Đầu tư Bất động sản Bình An Riverside (vi),TP. Hồ Chí Minh,99%,99%,-,-,,0.99,0.99,,
15 Công ty Cổ phần Thiết bị Giáo dục 1 (vii),Công ty con cấp 1 > 15 Công ty Cổ phần Thiết bị Giáo dục 1 (vii),15 Công ty Cổ phần Thiết bị Giáo dục 1 (vii),Hà Nội,51%,51%,-,-,,0.51,0.51,,
16 Công ty Cổ phần Hà Đô Ninh Thuận (Thuyết minh 44),Công ty con cấp 1 > 16 Công ty Cổ phần Hà Đô Ninh Thuận (Thuyết minh 44),16 Công ty Cổ phần Hà Đô Ninh Thuận (Thuyết minh 44),Hà Nội,75%,82%,-,-,,0.75,0.82,,
Công ty con cấp 2,Công ty con cấp 2,Công ty con cấp 2,Công ty con cấp 2,Tỷ lệ lợi ích trực tiếp của công ty con cấp 1,Tỷ lệ lợi ích trực tiếp của công ty con cấp 1,Tỷ lệ lợi ích của Tập đoàn,Tỷ lệ lợi ích của Tập đoàn,,,,,
Công ty con cấp 2,Công ty con cấp 2,Công ty con cấp 2,Công ty con cấp 2,31/12/2018,1/1/2018,31/12/2018,1/1/2018,,,,,
Công ty con của Công ty Cổ phần Za Hưng,Công ty con của Công ty Cổ phần Za Hưng,Công ty con của Công ty Cổ phần Za Hưng,Công ty con của Công ty Cổ phần Za Hưng,Công ty con của Công ty Cổ phần Za Hưng,Công ty con của Công ty Cổ phần Za Hưng,Công ty con của Công ty Cổ phần Za Hưng,Công ty con của Công ty Cổ phần Za Hưng,,,,,
1 Công ty Cổ phần Thùy diện Sông Tranh 4,Công ty con của Công ty Cổ phần Za Hưng > 1 Công ty Cổ phần Thùy diện Sông Tranh 4,1 Công ty Cổ phần Thùy diện Sông Tranh 4,Quảng Nam,"60,39%","60,39%","60,39%","60,39%",,0.6039,0.6039,0.6039,0.6039
