row_label_raw,row_label_full,col_0,Giá gốc và số có khả năng trả nợ,Giá gốc và số có khả năng trả nợ_1,numeric__Giá gốc và số có khả năng trả nợ,numeric__Giá gốc và số có khả năng trả nợ_1
,,,31/12/2018VND,1/1/2018VND,,
Các bên liên quan,Các bên liên quan,Các bên liên quan,Các bên liên quan,Các bên liên quan,,
Công ty Cổ phần Đầu tư An Lạc,Các bên liên quan > Công ty Cổ phần Đầu tư An Lạc,Công ty Cổ phần Đầu tư An Lạc,2.019.725.459,2.019.725.459,2019725459.0,2019725459.0
Các bên khác,Các bên khác,Các bên khác,Các bên khác,Các bên khác,,
Ông Huỳnh Kỳ Trân,Các bên khác > Ông Huỳnh Kỳ Trân,Ông Huỳnh Kỳ Trân,26.924.500.000,-,26924500000.0,
Công ty Cổ phần Tập đoàn Xây dựng Hòa Bình,Các bên khác > Công ty Cổ phần Tập đoàn Xây dựng Hòa Bình,Công ty Cổ phần Tập đoàn Xây dựng Hòa Bình,63.356.641.942,18.578.664.260,63356641942.0,18578664260.0
Công ty TNHH Minh Nhật Duy,Các bên khác > Công ty TNHH Minh Nhật Duy,Công ty TNHH Minh Nhật Duy,7.856.739.500,33.647.049.540,7856739500.0,33647049540.0
Công ty Cổ phần Điện Lạnh Nam Thịnh,Các bên khác > Công ty Cổ phần Điện Lạnh Nam Thịnh,Công ty Cổ phần Điện Lạnh Nam Thịnh,44.304.361.200,-,44304361200.0,
Công ty TNHH Tập Đoàn Thang Máy Thiết Bị Thăng Long,Các bên khác > Công ty TNHH Tập Đoàn Thang Máy Thiết Bị Thăng Long,Công ty TNHH Tập Đoàn Thang Máy Thiết Bị Thăng Long,18.403.715.000,-,18403715000.0,
Công ty Cổ phần Sông Đà 10,Các bên khác > Công ty Cổ phần Sông Đà 10,Công ty Cổ phần Sông Đà 10,7.943.574.450,3.608.514.281,7943574450.0,3608514281.0
Công ty Cổ phần Sông Đà 505,Các bên khác > Công ty Cổ phần Sông Đà 505,Công ty Cổ phần Sông Đà 505,10.766.655.375,8.811.706.463,10766655375.0,8811706463.0
Công ty Cổ phần Thép Đất Việt,Các bên khác > Công ty Cổ phần Thép Đất Việt,Công ty Cổ phần Thép Đất Việt,-,10.585.720.330,,10585720330.0
Công ty Cổ phần Đạt Phương,Các bên khác > Công ty Cổ phần Đạt Phương,Công ty Cổ phần Đạt Phương,-,954.424.022,,954424022.0
Công ty TNHH Đầu tư Xây dựng Unicons,Các bên khác > Công ty TNHH Đầu tư Xây dựng Unicons,Công ty TNHH Đầu tư Xây dựng Unicons,62.873.329.469,43.050.740.135,62873329469.0,43050740135.0
Các nhà cung cấp khác,Các bên khác > Các nhà cung cấp khác,Các nhà cung cấp khác,240.792.685.590,283.312.204.032,240792685590.0,283312204032.0
,,,485.241.927.985,404.568.748.522,485241927985.0,404568748522.0
