row_label_raw,row_label_full,col_0,Giá trị ghi số trước thời điểm mua VND,Các điều chỉnh giá trị hợp lý VND,Giá trị hợp lý tại thời điểm nằm quyền kiểm soát VND,numeric__Giá trị ghi số trước thời điểm mua VND,numeric__Các điều chỉnh giá trị hợp lý VND,numeric__Giá trị hợp lý tại thời điểm nằm quyền kiểm soát VND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,20.975.695,-,20.975.695,20975695.0,,20975695.0
Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,242.997.000.000,30.694.559.000,273.691.559.000,242997000000.0,30694559000.0,273691559000.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,17.003.000.000,(17.003.000.000),-,17003000000.0,-17003000000.0,
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,33.000,-,33.000,33000.0,,33000.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,(80.000.000),-,(80.000.000),-80000000.0,,-80000000.0
Tài sản và nợ phải trả thuần có thể xác định được,Tài sản và nợ phải trả thuần có thể xác định được,Tài sản và nợ phải trả thuần có thể xác định được,259.941.008.695,13.691.559.000,273.632.567.695,259941008695.0,13691559000.0,273632567695.0
Thuế thu nhập hoãn lại phải trả phát sinh từ các điều chỉnh giá trị hợp lý,Thuế thu nhập hoãn lại phải trả phát sinh từ các điều chỉnh giá trị hợp lý,Thuế thu nhập hoãn lại phải trả phát sinh từ các điều chỉnh giá trị hợp lý,,,(6.138.911.800),,,-6138911800.0
Tài sản thuần phát sinh trong giao dịch mua giá rê,Tài sản thuần phát sinh trong giao dịch mua giá rê,Tài sản thuần phát sinh trong giao dịch mua giá rê,,,267.493.655.895,,,267493655895.0
Phần tài sản thuần thuộc Tập đoàn tại ngày nằm quyền kiểm soát,Phần tài sản thuần thuộc Tập đoàn tại ngày nằm quyền kiểm soát,Phần tài sản thuần thuộc Tập đoàn tại ngày nằm quyền kiểm soát,,,187.245.559.127,,,187245559127.0
Lãi từ giao dịch mua giá rè(Thuyết minh 38),Lãi từ giao dịch mua giá rè(Thuyết minh 38),Lãi từ giao dịch mua giá rè(Thuyết minh 38),,,34.245.559.127,,,34245559127.0
Khoản thanh toán cho việc mua lại,Khoản thanh toán cho việc mua lại,Khoản thanh toán cho việc mua lại,,,153.000.000.000,,,153000000000.0
Khoản tiền thu được,Khoản tiền thu được,Khoản tiền thu được,,,20.975.695,,,20975695.0
Khoản tiền tiền thanh toán thuần,Khoản tiền tiền thanh toán thuần,Khoản tiền tiền thanh toán thuần,,,152.979.024.305,,,152979024305.0
