row_label_raw,row_label_full,Tại ngày 31/12/2017,Kinh doanh bất động sản VND,Xây dựng VND,Thủy điện VND,Hoạt động khác VND,Loại trừ VND,Hợp nhất VND,numeric__Kinh doanh bất động sản VND,numeric__Xây dựng VND,numeric__Thủy điện VND,numeric__Hoạt động khác VND,numeric__Loại trừ VND,numeric__Hợp nhất VND
Tài sản của bộ phận,Tài sản của bộ phận,Tài sản của bộ phận,6.672.632.666.323,904.408.267.576,2.272.774.086.782,950.561.867.608,(2.704.356.837.172),8.096.020.051.117,6672632666323.0,904408267576.0,2272774086782.0,950561867608.0,-2704356837172.0,8096020051117.0
Khoản đầu tư vào công ty liên kết,Khoản đầu tư vào công ty liên kết,Khoản đầu tư vào công ty liên kết,419.104.095.193,-,-,-,(99.621.149.355),319.482.945.838,419104095193.0,,,,-99621149355.0,319482945838.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,7.091.736.761.516,904.408.267.576,2.272.774.086.782,950.561.867.608,(2.803.977.986.527),8.415.502.996.955,7091736761516.0,904408267576.0,2272774086782.0,950561867608.0,-2803977986527.0,8415502996955.0
Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,6.065.587.520.080,719.164.964.407,1.148.099.267.294,22.517.215.770,(1.624.011.944.437),6.331.357.023.114,6065587520080.0,719164964407.0,1148099267294.0,22517215770.0,-1624011944437.0,6331357023114.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,6.065.587.520.080,719.164.964.407,1.148.099.267.294,22.517.215.770,(1.624.011.944.437),6.331.357.023.114,6065587520080.0,719164964407.0,1148099267294.0,22517215770.0,-1624011944437.0,6331357023114.0
Năm 2017,Năm 2017,Năm 2017,Kinh doanh bất động sản VND,Xây dựng VND,Thủy điện VND,Hoạt động khác VND,Loại trừ VND,Hợp nhất VND,,,,,,
Chỉ tiêu vốn,Năm 2017 > Chỉ tiêu vốn,Chỉ tiêu vốn,5.102.899.512,54.370.869.164,430.608.601.854,119.435.530.329,(12.779.898.812),596.738.002.047,5102899512.0,54370869164.0,430608601854.0,119435530329.0,-12779898812.0,596738002047.0
Khấu hao tài sản cố định hữu hình,Năm 2017 > Khấu hao tài sản cố định hữu hình,Khấu hao tài sản cố định hữu hình,6.932.941.555,13.951.604.316,50.169.937.779,961.258.929,10.818.562.432,82.834.305.011,6932941555.0,13951604316.0,50169937779.0,961258929.0,10818562432.0,82834305011.0
Khấu hao tài sản cố định vô hình,Năm 2017 > Khấu hao tài sản cố định vô hình,Khấu hao tài sản cố định vô hình,223.843.320,9.975.000,10.640.000,104.799.996,-,349.258.316,223843320.0,9975000.0,10640000.0,104799996.0,,349258316.0
Khấu hao bất động sản đầu tư,Năm 2017 > Khấu hao bất động sản đầu tư,Khấu hao bất động sản đầu tư,-,-,-,32.430.152.646,(700.457.951),31.729.694.695,,,,32430152646.0,-700457951.0,31729694695.0
