row_label_raw,row_label_full,col_0,Hà Đô Tư vấn VND,Hà Đô 23 VND,Tổng cộng VND,numeric__Hà Đô Tư vấn VND,numeric__Hà Đô 23 VND,numeric__Tổng cộng VND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,211.841.874,1.571.281.081,1.783.122.955,211841874.0,1571281081.0,1783122955.0
Đầu tư năm giữ đến ngày đáo hạn - ngắn hạn,Đầu tư năm giữ đến ngày đáo hạn - ngắn hạn,Đầu tư năm giữ đến ngày đáo hạn - ngắn hạn,-,5.510.012.939,5.510.012.939,,5510012939.0,5510012939.0
Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,1.092.738.864,53.374.922.983,54.467.661.847,1092738864.0,53374922983.0,54467661847.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,-,98.918.035.871,98.918.035.871,,98918035871.0,98918035871.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,5.172.351.678,28.562.765.007,33.735.116.685,5172351678.0,28562765007.0,33735116685.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,-,6.894.380.189,6.894.380.189,,6894380189.0,6894380189.0
Tài sản cố định vô hình,Tài sản cố định vô hình,Tài sản cố định vô hình,79.800.000,-,79.800.000,79800000.0,,79800000.0
Chỉ phí trả trước dài hạn,Chỉ phí trả trước dài hạn,Chỉ phí trả trước dài hạn,110.091.545,5.647.535.545,5.757.627.090,110091545.0,5647535545.0,5757627090.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,-,(99.488.360.378),(99.488.360.378),,-99488360378.0,-99488360378.0
Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,-,(39.299.809.285),(39.299.809.285),,-39299809285.0,-39299809285.0
Thuế và các khoản khác phải nộp Nhà nước,Thuế và các khoản khác phải nộp Nhà nước,Thuế và các khoản khác phải nộp Nhà nước,-,(987.632.579),(987.632.579),,-987632579.0,-987632579.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,(3.729.454.954),(1.047.982.680),(4.777.437.634),-3729454954.0,-1047982680.0,-4777437634.0
Giá trị ghi sổ của tài sản và nợ phải trả thuần,Giá trị ghi sổ của tài sản và nợ phải trả thuần,Giá trị ghi sổ của tài sản và nợ phải trả thuần,2.937.369.007,59.655.148.693,62.592.517.700,2937369007.0,59655148693.0,62592517700.0
Phần sở hữu của Công ty trong giá trị ghi sổ của tài sản thuần của công ty con tại ngày thanh lý,Phần sở hữu của Công ty trong giá trị ghi sổ của tài sản thuần của công ty con tại ngày thanh lý,Phần sở hữu của Công ty trong giá trị ghi sổ của tài sản thuần của công ty con tại ngày thanh lý,1.498.058.194,35.793.089.216,37.291.147.410,1498058194.0,35793089216.0,37291147410.0
Lỗ thuần từ thanh lý các công ty con (Thuyết minh 35),Lỗ thuần từ thanh lý các công ty con (Thuyết minh 35),Lỗ thuần từ thanh lý các công ty con (Thuyết minh 35),(70.058.194),(1.137.836.659),(1.207.894.853),-70058194.0,-1137836659.0,-1207894853.0
Khoản tiền thu từ thanh lý các công ty con,Khoản tiền thu từ thanh lý các công ty con,Khoản tiền thu từ thanh lý các công ty con,1.428.000.000,34.655.252.557,36.083.252.557,1428000000.0,34655252557.0,36083252557.0
Khoản tiền thuần thu được do thanh lý các công ty con,Khoản tiền thuần thu được do thanh lý các công ty con,Khoản tiền thuần thu được do thanh lý các công ty con,1.216.158.126,33.083.971.476,34.300.129.602,1216158126.0,33083971476.0,34300129602.0
