row_label_raw,row_label_full,Lợi nhuận thuần hợp nhất thuộc về các cổ đông phổ thông trong năm (VND),31/12/2018 > 633.432.528.516,2017Đã điều chỉnh lại > 178.375.406.736,numeric__31/12/2018 > 633.432.528.516,numeric__2017Đã điều chỉnh lại > 178.375.406.736
"Phân bổ vào quỹ khen thưởng, phúc lợi (*) (VND)","Phân bổ vào quỹ khen thưởng, phúc lợi (*) (VND)","Phân bổ vào quỹ khen thưởng, phúc lợi (*) (VND)",-,-,,
Lợi nhuận thuần thuộc về cổ đông phổ thông (VND),"Phân bổ vào quỹ khen thưởng, phúc lợi (*) (VND) > Lợi nhuận thuần thuộc về cổ đông phổ thông (VND)",Lợi nhuận thuần thuộc về cổ đông phổ thông (VND),633.432.528.516,178.375.406.736,633432528516.0,178375406736.0
Số lượng bình quân gia quyền của cổ phiếu phổ thông lưu hành trong năm (số cổ phiếu),"Phân bổ vào quỹ khen thưởng, phúc lợi (*) (VND) > Số lượng bình quân gia quyền của cổ phiếu phổ thông lưu hành trong năm (số cổ phiếu)",Số lượng bình quân gia quyền của cổ phiếu phổ thông lưu hành trong năm (số cổ phiếu),92.156.709,92.157.565,92156709.0,92157565.0
Lãi cơ bản trên cổ phiếu (VND),"Phân bổ vào quỹ khen thưởng, phúc lợi (*) (VND) > Lãi cơ bản trên cổ phiếu (VND)",Lãi cơ bản trên cổ phiếu (VND),6.873,1.936,6873.0,1936.0
