row_label_raw,row_label_full,col_0,Phần mềm máy vi tính VND,numeric__Phần mềm máy vi tính VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,1.523.654.500,1523654500.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,299.400.000,299400000.0
Tăng do mua Công ty Cổ phần Thiết bị Giáo dục 1 (Thuyết minh 1(d)),Nguyên giá > Tăng do mua Công ty Cổ phần Thiết bị Giáo dục 1 (Thuyết minh 1(d)),Tăng do mua Công ty Cổ phần Thiết bị Giáo dục 1 (Thuyết minh 1(d)),79.800.000,79800000.0
Giảm do thanh lý công ty con,Nguyên giá > Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,(79.800.000),-79800000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.823.054.500,1823054500.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,518.248.578,518248578.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,366.884.337,366884337.0
Tăng do mua Công ty Cổ phần Thiết bị Giáo dục 1 (Thuyết minh 1(d)),Giá trị hao mòn lũy kế > Tăng do mua Công ty Cổ phần Thiết bị Giáo dục 1 (Thuyết minh 1(d)),Tăng do mua Công ty Cổ phần Thiết bị Giáo dục 1 (Thuyết minh 1(d)),19.950.000,19950000.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,905.082.915,905082915.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,1.005.405.922,1005405922.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,917.971.585,917971585.0
