row_label_raw,row_label_full,col_0,Thuế suất,31/12/2018 VND,1/1/2018 VND,numeric__Thuế suất,numeric__31/12/2018 VND,numeric__1/1/2018 VND
Tài sản thuế thu nhập hoãn lại:Lợi nhuận chưa thực hiện trong hàng tồn kho,Tài sản thuế thu nhập hoãn lại:Lợi nhuận chưa thực hiện trong hàng tồn kho,Tài sản thuế thu nhập hoãn lại:Lợi nhuận chưa thực hiện trong hàng tồn kho,20%,25.373.143.223,20.997.192.297,0.2,25373143223.0,20997192297.0
Lợi nhuận chưa thực hiện trongbắt động sản đầu tư,Lợi nhuận chưa thực hiện trongbắt động sản đầu tư,Lợi nhuận chưa thực hiện trongbắt động sản đầu tư,20%,3.322.067.268,1.142.804.615,0.2,3322067268.0,1142804615.0
Lợi nhuận chưa thực hiện trong xây dựngcơ bản dở dang,Lợi nhuận chưa thực hiện trong xây dựngcơ bản dở dang,Lợi nhuận chưa thực hiện trong xây dựngcơ bản dở dang,20%,3.756.607.480,1.531.709.449,0.2,3756607480.0,1531709449.0
Chi phí môi giới đã trả chưa được khấu trừ,Chi phí môi giới đã trả chưa được khấu trừ,Chi phí môi giới đã trả chưa được khấu trừ,20%,70.611.681.120,58.517.653.317,0.2,70611681120.0,58517653317.0
Khác,Khác,Khác,20%,-,525.506.682,0.2,,525506682.0
Tổng tài sản thuế thu nhập hoãn lại,Tổng tài sản thuế thu nhập hoãn lại,Tổng tài sản thuế thu nhập hoãn lại,,103.063.499.091,82.714.866.360,,103063499091.0,82714866360.0
Thuế thu nhập hoãn lại phải trả:Dự phòng đầu tư dài hạn,Thuế thu nhập hoãn lại phải trả:Dự phòng đầu tư dài hạn,Thuế thu nhập hoãn lại phải trả:Dự phòng đầu tư dài hạn,20%,-,(2.801.824.755),0.2,,-2801824755.0
Hợp nhất kinh doanh,Hợp nhất kinh doanh,Hợp nhất kinh doanh,20%,(6.138.911.800),-,0.2,-6138911800.0,
,,,,(6.138.911.800),(2.801.824.755),,-6138911800.0,-2801824755.0
Tài sản thuế thu nhập hoãn lại thuần,Tài sản thuế thu nhập hoãn lại thuần,Tài sản thuế thu nhập hoãn lại thuần,,96.924.587.291,79.913.041.605,,96924587291.0,79913041605.0
