row_label_raw,row_label_full,Các khoản vay,Các khoản vay_1,Các khoản vay_2,Các khoản vay_3,Các khoản vay_4,Các khoản vay_5,Các khoản vay_6,numeric__Các khoản vay_1,numeric__Các khoản vay_2,numeric__Các khoản vay_3,numeric__Các khoản vay_4,numeric__Các khoản vay_5,numeric__Các khoản vay_6
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,,
,,,1/1/2018,1/1/2018,Biến động trong nămTăng do muaCông ty Cổ phầnThiết bị Giáo dục 1VND,Biến động trong nămTăng do muaCông ty Cổ phầnThiết bị Giáo dục 1VND,GiảmVND,31/12/2018Giá trị ghi số và sốcó khả năng trả nợVND,,,,,,
,,,Giá trị ghi số và sốcó khả năng trả nợVND,TăngVND,Biến động trong nămTăng do muaCông ty Cổ phầnThiết bị Giáo dục 1VND,Biến động trong nămTăng do muaCông ty Cổ phầnThiết bị Giáo dục 1VND,GiảmVND,31/12/2018Giá trị ghi số và sốcó khả năng trả nợVND,,,,,,
Vay ngắn hạn,Vay ngắn hạn > Vay ngắn hạn,Vay ngắn hạn,129.787.128.414,296.087.580.175,6.996.000.000,6.996.000.000,(182.631.589.637),250.239.118.952,129787128414.0,296087580175.0,6996000000.0,6996000000.0,-182631589637.0,250239118952.0
Vay dài hạn đến hạn trả (b),Vay ngắn hạn > Vay dài hạn đến hạn trả (b),Vay dài hạn đến hạn trả (b),147.792.616.929,366.444.160.302,-,-,(181.440.967.181),332.795.810.050,147792616929.0,366444160302.0,,,-181440967181.0,332795810050.0
,,,277.579.745.343,662.531.740.477,6.996.000.000,6.996.000.000,(364.072.556.818),583.034.929.002,277579745343.0,662531740477.0,6996000000.0,6996000000.0,-364072556818.0,583034929002.0
Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,,,,,,
,,,,Thuyếtminh,Loạitiền,Lãi suấtnăm,31/12/2018VND,1/1/2018VND,,,,,,
Khoản vay Ngân hàng TMCP Quân đội - Chi nhánh Hoàng Quốc Việt,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau: > Khoản vay Ngân hàng TMCP Quân đội - Chi nhánh Hoàng Quốc Việt,Khoản vay Ngân hàng TMCP Quân đội - Chi nhánh Hoàng Quốc Việt,,,VND,8%,-,1.460.209.428,,,,0.08,,1460209428.0
Khoản vay Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Đông Anh,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau: > Khoản vay Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Đông Anh,Khoản vay Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Đông Anh,(i),,VND,"7,5% - 8%",65.924.499.957,-,,,,,65924499957.0,
Khoản vay Ngân hàng TMCP Kỹ thương Việt Nam - Chi nhánh Thắng Lợi,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau: > Khoản vay Ngân hàng TMCP Kỹ thương Việt Nam - Chi nhánh Thắng Lợi,Khoản vay Ngân hàng TMCP Kỹ thương Việt Nam - Chi nhánh Thắng Lợi,(ii),,VND,"7,08%",26.462.761.981,13.031.119.104,,,,0.0708,26462761981.0,13031119104.0
Khoản vay Ngân hàng TMCP Quân đội - Chi nhánh TP. Hồ Chí Minh,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau: > Khoản vay Ngân hàng TMCP Quân đội - Chi nhánh TP. Hồ Chí Minh,Khoản vay Ngân hàng TMCP Quân đội - Chi nhánh TP. Hồ Chí Minh,(iii),,VND,"7,2% - 7,5%",31.739.847.048,7.304.054.771,,,,,31739847048.0,7304054771.0
"Công ty Cổ phần Đầu tư IP Việt Nam, một bên liên quan","Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau: > Công ty Cổ phần Đầu tư IP Việt Nam, một bên liên quan","Công ty Cổ phần Đầu tư IP Việt Nam, một bên liên quan",(iv),,VND,6%,57.000.000.000,57.000.000.000,,,,0.06,57000000000.0,57000000000.0
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Ba Đình,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau: > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Ba Đình,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Ba Đình,(iv),,VND,"6,9% - 7,1%",9.533.284.104,-,,,,,9533284104.0,
Vay cá nhân,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau: > Vay cá nhân,Vay cá nhân,(iv),,VND,0% - 11%,59.578.725.862,50.991.745.111,,,,,59578725862.0,50991745111.0
,,,,,,,250.239.118.952,129.787.128.414,,,,,250239118952.0,129787128414.0
