row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng cư vốn cổ phần VND,Vốn khác của chủ sở hữu VND,Cổ phiếu quỹ VND,Chênh lệch tỷ giá hối doái VND,Quỹ đầu tư phát triển VND,Lợi nhuận chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Thặng cư vốn cổ phần VND,numeric__Vốn khác của chủ sở hữu VND,numeric__Cổ phiếu quỹ VND,numeric__Chênh lệch tỷ giá hối doái VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng cộng VND
Số dư tại ngày 1/1/2018,Số dư tại ngày 1/1/2018,Số dư tại ngày 1/1/2018,759.680.800.000,(33.000.000),-,(311.780.000),4.224.645.412,30.406.896.801,479.289.854.941,810.888.556.687,2.084.145.973.841,759680800000.0,-33000000.0,,-311780000.0,4224645412.0,30406896801.0,479289854941.0,810888556687.0,2084145973841.0
Phát hành cổ phiếu thường từ lợi nhuận chưa phân phối (Thuyết minh 29),Phát hành cổ phiếu thường từ lợi nhuận chưa phân phối (Thuyết minh 29),Phát hành cổ phiếu thường từ lợi nhuận chưa phân phối (Thuyết minh 29),113.903.650.000,-,-,-,-,-,(113.903.650.000),-,-,113903650000.0,,,,,,-113903650000.0,,
Tăng vốn trong kỳ,Tăng vốn trong kỳ,Tăng vốn trong kỳ,75.935.910.000,(138.550.000),-,-,-,-,-,7.397.870.000,83.195.230.000,75935910000.0,-138550000.0,,,,,,7397870000.0,83195230000.0
Góp vốn khác (*),Góp vốn khác (*),Góp vốn khác (*),-,-,-,-,-,-,-,89.060.250.000,89.060.250.000,,,,,,,,89060250000.0,89060250000.0
Mua lại cổ phiếu quỹ,Mua lại cổ phiếu quỹ,Mua lại cổ phiếu quỹ,-,-,-,(14.490.000),-,-,-,-,(14.490.000),,,,-14490000.0,,,,,-14490000.0
Trả cổ tức bằng cổ phiếu thường tại công ty con,Trả cổ tức bằng cổ phiếu thường tại công ty con,Trả cổ tức bằng cổ phiếu thường tại công ty con,-,-,38.743.910.000,-,-,-,(38.743.910.000),-,-,,,38743910000.0,,,,-38743910000.0,,
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,633.432.528.516,154.125.488.712,787.558.017.228,,,,,,,633432528516.0,154125488712.0,787558017228.0
Chênh lệch tỷ giá hối doái do việc quy đổi các hoạt động ở nước ngoài (Thuyết minh 3(b)(ii)),Chênh lệch tỷ giá hối doái do việc quy đổi các hoạt động ở nước ngoài (Thuyết minh 3(b)(ii)),Chênh lệch tỷ giá hối doái do việc quy đổi các hoạt động ở nước ngoài (Thuyết minh 3(b)(ii)),-,-,-,-,(4.027.600.356),-,-,-,(4.027.600.356),,,,,-4027600356.0,,,,-4027600356.0
Cổ tức (Thuyết minh 29),Cổ tức (Thuyết minh 29),Cổ tức (Thuyết minh 29),-,-,-,-,-,-,(132.874.308.325),(162.375.304.900),(295.249.613.225),,,,,,,-132874308325.0,-162375304900.0,-295249613225.0
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,-,-,(6.265.000.000),(110.000.000),(6.375.000.000),,,,,,,-6265000000.0,-110000000.0,-6375000000.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,-,-,56.692.110,(56.692.110),-,-,,,,,,56692110.0,-56692110.0,,
Hợp nhất kinh doanh (Thuyết minh 5(a)),Hợp nhất kinh doanh (Thuyết minh 5(a)),Hợp nhất kinh doanh (Thuyết minh 5(a)),-,-,-,-,-,-,-,80.248.096.768,80.248.096.768,,,,,,,,80248096768.0,80248096768.0
Giảm do thoái vốn tại công ty con (Thuyết minh 5(b)),Giảm do thoái vốn tại công ty con (Thuyết minh 5(b)),Giảm do thoái vốn tại công ty con (Thuyết minh 5(b)),-,-,-,-,-,(3.676.633.949),3.676.633.949,(25.301.370.290),(25.301.370.290),,,,,,-3676633949.0,3676633949.0,-25301370290.0,-25301370290.0
Giảm do sáp nhập công ty con,Giảm do sáp nhập công ty con,Giảm do sáp nhập công ty con,-,-,-,-,-,(1.650.963.062),1.650.963.062,-,-,,,,,,-1650963062.0,1650963062.0,,
Giao dịch mua nhóm tài sản (Thuyết minh 1(d)(vii)),Giao dịch mua nhóm tài sản (Thuyết minh 1(d)(vii)),Giao dịch mua nhóm tài sản (Thuyết minh 1(d)(vii)),-,-,-,-,-,-,-,(18.150.758.972),(18.150.758.972),,,,,,,,-18150758972.0,-18150758972.0
Mua thêm một phần lợi ích của cổ đông không kiểm soát,Mua thêm một phần lợi ích của cổ đông không kiểm soát,Mua thêm một phần lợi ích của cổ đông không kiểm soát,-,-,-,-,-,-,(2.925.639.835),(77.474.360.165),(80.400.000.000),,,,,,,-2925639835.0,-77474360165.0,-80400000000.0
Biến động khác về vốn chủ sở hữu,Biến động khác về vốn chủ sở hữu,Biến động khác về vốn chủ sở hữu,-,-,-,-,-,-,(2.493.475.433),(1.510.235.281),(4.003.710.714),,,,,,,-2493475433.0,-1510235281.0,-4003710714.0
Số dư tại ngày 31/12/2018,Số dư tại ngày 31/12/2018,Số dư tại ngày 31/12/2018,949.520.360.000,(171.550.000),38.743.910.000,(326.270.000),197.045.056,25.135.991.900,820.787.304.765,856.798.232.559,2.690.685.024.280,949520360000.0,-171550000.0,38743910000.0,-326270000.0,197045056.0,25135991900.0,820787304765.0,856798232559.0,2690685024280.0
