row_label_raw,row_label_full,col_0,Quyền sử dụng đấtvà nhà cửaVND,numeric__Quyền sử dụng đấtvà nhà cửaVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,658.774.892.636,658774892636.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,264.566.328,264566328.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,19.950.342.401,19950342401.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,678.989.801.365,678989801365.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,67.935.113.954,67935113954.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,32.613.098.681,32613098681.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,100.548.212.635,100548212635.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,590.839.778.682,590839778682.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,578.441.588.730,578441588730.0
