row_label_raw,row_label_full,Bên liên quan,Mỗi quan hệ,Nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Mỗi quan hệ,numeric__Nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,,,,
Công ty TNHH Tập đoàn Đầu tư Hoa Sen,Phải thu ngắn hạn của khách hàng > Công ty TNHH Tập đoàn Đầu tư Hoa Sen,Công ty TNHH Tập đoàn Đầu tư Hoa Sen,Bên liên quan,Bán hàng hóa,451.645.235,27.493.400,,,451645235.0,27493400.0
Công ty TNHH Một Thành viên Đầu tư Hoa Sen Nghệ An,Phải thu ngắn hạn của khách hàng > Công ty TNHH Một Thành viên Đầu tư Hoa Sen Nghệ An,Công ty TNHH Một Thành viên Đầu tư Hoa Sen Nghệ An,Bên liên quan,Cung cấp dịch vụ,33.000.000,-,,,33000000.0,
TỔNG CỘNG,Phải thu ngắn hạn của khách hàng > TỔNG CỘNG,TỔNG CỘNG,,,484.645.235,27.493.400,,,484645235.0,27493400.0
Trả trước người bán ngắn hạn,Trả trước người bán ngắn hạn,Trả trước người bán ngắn hạn,Trả trước người bán ngắn hạn,Trả trước người bán ngắn hạn,Trả trước người bán ngắn hạn,Trả trước người bán ngắn hạn,,,,
Công ty TNHH Tập đoàn Đầu tư Hoa Sen,Trả trước người bán ngắn hạn > Công ty TNHH Tập đoàn Đầu tư Hoa Sen,Công ty TNHH Tập đoàn Đầu tư Hoa Sen,Bên liên quan,Mua hàng hóa,-,4.616.198.665,,,,4616198665.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,,,,
Ông Hoàng Đức Huy,Phải thu ngắn hạn khác > Ông Hoàng Đức Huy,Ông Hoàng Đức Huy,Phó Tổng Giám đốc,Ứng trước tiền mua đất,90.183.227.000,90.183.227.000,,,90183227000.0,90183227000.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,,,,
Công ty TNHH Tập đoàn Đầu tư Hoa Sen,Phải trả người bán ngắn hạn > Công ty TNHH Tập đoàn Đầu tư Hoa Sen,Công ty TNHH Tập đoàn Đầu tư Hoa Sen,Bên liên quan,Mua nguyên vật liệu,56.910.755.597,11.258.405.597,,,56910755597.0,11258405597.0
Công ty TNHH Một Thành viên Đầu tư Hoa Sen Nghệ An,Phải trả người bán ngắn hạn > Công ty TNHH Một Thành viên Đầu tư Hoa Sen Nghệ An,Công ty TNHH Một Thành viên Đầu tư Hoa Sen Nghệ An,Bên liên quan,Mua dịch vụ,7.017.027.473,-,,,7017027473.0,
TỔNG CỘNG,Phải trả người bán ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,,,63.927.783.070,11.258.405.597,,,63927783070.0,11258405597.0
Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,,,,
Công ty TNHH Tập đoàn Đầu tư Hoa Sen,Người mua trả tiền trước ngắn hạn > Công ty TNHH Tập đoàn Đầu tư Hoa Sen,Công ty TNHH Tập đoàn Đầu tư Hoa Sen,Bên liên quan,Bán hàng hóa,278.163.648.717,26.413.121.165,,,278163648717.0,26413121165.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,,,,
DNTN Kinh doanh Bất động sản Hương Sen,Phải trả ngắn hạn khác > DNTN Kinh doanh Bất động sản Hương Sen,DNTN Kinh doanh Bất động sản Hương Sen,Bên liên quan,Tạm ứng,1.000.000.000,1.000.000.000,,,1000000000.0,1000000000.0
Công ty TNHH Tập đoàn Đầu tư Hoa Sen,Phải trả ngắn hạn khác > Công ty TNHH Tập đoàn Đầu tư Hoa Sen,Công ty TNHH Tập đoàn Đầu tư Hoa Sen,Bên liên quan,Phải trả khác,-,2.300.000,,,,2300000.0
TỔNG CỘNG,Phải trả ngắn hạn khác > TỔNG CỘNG,TỔNG CỘNG,,,1.000.000.000,1.002.300.000,,,1000000000.0,1002300000.0
