row_label_raw,row_label_full,Bên liên quan (Thuyết minh số 30),Số cuối năm > 278.163.648.717,VND Số đầu năm > 26.413.121.165,numeric__Số cuối năm > 278.163.648.717,numeric__VND Số đầu năm > 26.413.121.165
Các bên khác,Các bên khác,Các bên khác,139.478.514.359,125.931.086.087,139478514359.0,125931086087.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,417.642.163.076,152.344.207.252,417642163076.0,152344207252.0
