row_label_raw,row_label_full,col_0,Số cuối năm,VND Số đầu năm,numeric__Số cuối năm,numeric__VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,109.041.648.878,89.057.046.906,109041648878.0,89057046906.0
"Chi phí công cụ, dụng cụ","Chi phí công cụ, dụng cụ","Chi phí công cụ, dụng cụ",31.879.306.315,30.110.567.566,31879306315.0,30110567566.0
Chi phí quảng cáo,Chi phí quảng cáo,Chi phí quảng cáo,27.486.428.721,24.585.328.927,27486428721.0,24585328927.0
Chi phí thuê nhà xưởng,Chi phí thuê nhà xưởng,Chi phí thuê nhà xưởng,21.096.714.881,13.439.356.204,21096714881.0,13439356204.0
Chi phí sửa chữa,Chi phí sửa chữa,Chi phí sửa chữa,9.816.289.531,2.352.783.842,9816289531.0,2352783842.0
Chi phí tư vấn,Chi phí tư vấn,Chi phí tư vấn,5.022.641.070,1.615.463.792,5022641070.0,1615463792.0
Chi phí bảo hiểm,Chi phí bảo hiểm,Chi phí bảo hiểm,1.822.964.857,1.272.363.610,1822964857.0,1272363610.0
Khác,Khác,Khác,11.917.303.503,15.681.182.965,11917303503.0,15681182965.0
Dài hạn,Dài hạn,Dài hạn,412.307.081.315,218.966.831.302,412307081315.0,218966831302.0
Công cụ dụng cụ và phụ tùng thay thế,Công cụ dụng cụ và phụ tùng thay thế,Công cụ dụng cụ và phụ tùng thay thế,132.158.152.780,101.715.319.644,132158152780.0,101715319644.0
"Chi phí thuê nhà xưởng, văn phòng","Chi phí thuê nhà xưởng, văn phòng","Chi phí thuê nhà xưởng, văn phòng",130.330.964.983,96.224.400.019,130330964983.0,96224400019.0
Chi phí san lắp mặt bằng,Chi phí san lắp mặt bằng,Chi phí san lắp mặt bằng,81.632.371.044,-,81632371044.0,
Chi phí làm bằng hiệu,Chi phí làm bằng hiệu,Chi phí làm bằng hiệu,25.377.730.855,-,25377730855.0,
Chi phí sửa chữa,Chi phí sửa chữa,Chi phí sửa chữa,21.983.972.896,12.044.617.510,21983972896.0,12044617510.0
Khác,Khác,Khác,20.823.888.757,8.982.494.129,20823888757.0,8982494129.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,521.348.730.193,308.023.878.208,521348730193.0,308023878208.0
