row_label_raw,row_label_full,col_0,"Máy móc, thiết bị",Phương tiện vận tải,VND Tổng cộng,"numeric__Máy móc, thiết bị",numeric__Phương tiện vận tải,numeric__VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,370.117.377.749,20.332.727.270,390.450.105.019,370117377749.0,20332727270.0,390450105019.0
Tăng trong năm,Nguyên giá: > Tăng trong năm,Tăng trong năm,18.671.327.412,-,18.671.327.412,18671327412.0,,18671327412.0
Chuyển sang tài sản cố định hữu hình,Nguyên giá: > Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,(240.335.738.629),(12.199.636.362),(252.535.374.991),-240335738629.0,-12199636362.0,-252535374991.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,148.452.966.532,8.133.090.908,156.586.057.440,148452966532.0,8133090908.0,156586057440.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(100.120.989.216),(4.105.983.261),(104.226.972.477),-100120989216.0,-4105983261.0,-104226972477.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(54.295.924.361),(1.863.185.971),(56.159.110.332),-54295924361.0,-1863185971.0,-56159110332.0
Chuyển sang tài sản cố định hữu hình,Giá trị khấu hao lũy kế: > Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,80.268.435.491,3.522.165.280,83.790.600.771,80268435491.0,3522165280.0,83790600771.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(74.148.478.086),(2.447.003.952),(76.595.482.038),-74148478086.0,-2447003952.0,-76595482038.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,269.996.388.533,16.226.744.009,286.223.132.542,269996388533.0,16226744009.0,286223132542.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,74.304.488.446,5.686.086.956,79.990.575.402,74304488446.0,5686086956.0,79990575402.0
