row_label_raw,row_label_full,col_0,Số đầu năm,Tăng trong năm,Giảm trong năm,VND Số cuối năm,numeric__Số đầu năm,numeric__Tăng trong năm,numeric__Giảm trong năm,numeric__VND Số cuối năm
Phải trả,Phải trả,Phải trả,Phải trả,Phải trả,Phải trả,Phải trả,,,,
Thuế thu nhập doanh nghiệp,Phải trả > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,114.928.828.914,281.166.867.134,(340.323.719.741),55.771.976.307,114928828914.0,281166867134.0,-340323719741.0,55771976307.0
Thuế GTGT,Phải trả > Thuế GTGT,Thuế GTGT,76.547.803.465,1.682.389.184.523,(1.651.498.077.413),107.438.910.575,76547803465.0,1682389184523.0,-1651498077413.0,107438910575.0
Thuế thu nhập cá nhân,Phải trả > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,3.119.851.654,42.726.095.047,(43.129.030.389),2.716.916.312,3119851654.0,42726095047.0,-43129030389.0,2716916312.0
Các loại thuế khác,Phải trả > Các loại thuế khác,Các loại thuế khác,1.914.398.366,190.369.980.850,(191.012.456.462),1.271.922.754,1914398366.0,190369980850.0,-191012456462.0,1271922754.0
TỔNG CỘNG,Phải trả > TỔNG CỘNG,TỔNG CỘNG,196.510.882.399,2.196.652.127.554,(2.225.963.284.005),167.199.725.948,196510882399.0,2196652127554.0,-2225963284005.0,167199725948.0
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế GTGT được khấu trừ,Phải thu > Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,472.570.764.899,1.391.557.182.622,(200.764.096.998),1.663.363.850.523,472570764899.0,1391557182622.0,-200764096998.0,1663363850523.0
Thuế thu nhập cá nhân,Phải thu > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,11.997.869,747.060,(11.997.869),747.060,11997869.0,747060.0,-11997869.0,747060.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,472.582.762.768,1.391.557.929.682,(200.776.094.867),1.663.364.597.583,472582762768.0,1391557929682.0,-200776094867.0,1663364597583.0
