row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dưvốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tưphát triển,Quỹ dự phòngtài chính,Quỹ khác thuộcvốn chủ sở hữu,Lợi nhuậnsau thuế chưaphân phối,Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dưvốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tưphát triển,numeric__Quỹ dự phòngtài chính,numeric__Quỹ khác thuộcvốn chủ sở hữu,numeric__Lợi nhuậnsau thuế chưaphân phối,numeric__Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,,,
Số đầu năm(trình bày trước đáy),Năm trước > Số đầu năm(trình bày trước đáy),Số đầu năm(trình bày trước đáy),1.007.907.900.000,487.290.470.363 (52.113.695.510),,-,8.525.313.060,6.605.155.369,1.452.507.322.241,2.910.722.465.523,1007907900000.0,,,,8525313060.0,6605155369.0,1452507322241.0,2910722465523.0
Số đầu năm(phân loại lại) (*),Năm trước > Số đầu năm(phân loại lại) (*),Số đầu năm(phân loại lại) (*),1.007.907.900.000,487.290.470.363 (52.113.695.510),8.525.313.060,,-,6.605.155.369,1.452.507.322.241,2.910.722.465.523,1007907900000.0,,8525313060.0,,,6605155369.0,1452507322241.0,2910722465523.0
Lợi nhuận thuàntrong năm,Năm trước > Lợi nhuận thuàntrong năm,Lợi nhuận thuàntrong năm,,-,-,-,-,-,1.504.193.443.099,1.504.193.443.099,,,,,,,1504193443099.0,1504193443099.0
Trả cổ tức bằngcổ phiếu,Năm trước > Trả cổ tức bằngcổ phiếu,Trả cổ tức bằngcổ phiếu,957.490.390.000,-,,-,-,-,(957.490.390.000),-,957490390000.0,,,,,,-957490390000.0,
Cổ tức công bố,Năm trước > Cổ tức công bố,Cổ tức công bố,,-,-,-,-,-,(327.567.667.500),(327.567.667.500),,,,,,,-327567667500.0,-327567667500.0
Mua cổ phiếu quỹ,Năm trước > Mua cổ phiếu quỹ,Mua cổ phiếu quỹ,,-,(508.729),,-,-,-,(508.729),,,-508729.0,,,,,-508729.0
Tái phát hành cổphiêu quỹ,Năm trước > Tái phát hành cổphiêu quỹ,Tái phát hành cổphiêu quỹ,,64.281.463.158,52.114.204.239,-,-,-,-,116.395.667.397,,64281463158.0,52114204239.0,,,,,116395667397.0
Hoàn nhập quỹ,Năm trước > Hoàn nhập quỹ,Hoàn nhập quỹ,,-,-,(8.525.313.060),-,-,8.525.313.060,-,,,,-8525313060.0,,,8525313060.0,
"Trích lập quỹ khenthường, phúc lợi","Năm trước > Trích lập quỹ khenthường, phúc lợi","Trích lập quỹ khenthường, phúc lợi",,-,-,-,-,-,(26.114.981.672),(26.114.981.672),,,,,,,-26114981672.0,-26114981672.0
Trích lập quỹ khácthuộc vốn chủ sở hữu,Năm trước > Trích lập quỹ khácthuộc vốn chủ sở hữu,Trích lập quỹ khácthuộc vốn chủ sở hữu,,-,-,-,-,29.379.354.381,(29.379.354.381),-,,,,,,29379354381.0,-29379354381.0,
Thường vượt kếhoạch,Năm trước > Thường vượt kếhoạch,Thường vượt kếhoạch,,-,-,-,-,-,(21.902.000.000),(21.902.000.000),,,,,,,-21902000000.0,-21902000000.0
Sử dụng quỹ,Năm trước > Sử dụng quỹ,Sử dụng quỹ,,-,-,-,-,(29.199.934.080),-,(29.199.934.080),,,,,,-29199934080.0,,-29199934080.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,1.965.398.290.000,551.571.933.521,-,-,-,6.784.575.670,1.602.771.684.847,4.126.526.484.038,1965398290000.0,551571933521.0,,,,6784575670.0,1602771684847.0,4126526484038.0
