row_label_raw,row_label_full,Số đầu năm,Năm nay > 3.446.080.228,VNDNăm trước > -,numeric__Năm nay > 3.446.080.228,numeric__VNDNăm trước > -
Vốn điều lệ đã góp,Vốn điều lệ đã góp,Vốn điều lệ đã góp,33.750.000.000,3.450.000.000,33750000000.0,3450000000.0
Lợi nhuận trong năm phân bổ cho cổ đông không kiểm soát,Lợi nhuận trong năm phân bổ cho cổ đông không kiểm soát,Lợi nhuận trong năm phân bổ cho cổ đông không kiểm soát,(14.457.614),(3.919.772),-14457614.0,-3919772.0
Số cuối năm,Số cuối năm,Số cuối năm,37.181.622.614,3.446.080.228,37181622614.0,3446080228.0
