row_label_raw,row_label_full,col_0,Thuyết minh,Số đầu năm(Trình bay lại) > Giả trị,Số đầu năm(Trình bay lại) > Số có khá năng trả nợ,Số phát sinh trong năm > Tăng,Số phát sinh trong năm > Giảm,Số cuối năm > Giả trị,Số cuối năm > Số có khá năng trả nợ,numeric__Thuyết minh,numeric__Số đầu năm(Trình bay lại) > Giả trị,numeric__Số đầu năm(Trình bay lại) > Số có khá năng trả nợ,numeric__Số phát sinh trong năm > Tăng,numeric__Số phát sinh trong năm > Giảm,numeric__Số cuối năm > Giả trị,numeric__Số cuối năm > Số có khá năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,,,
Vay ngắn hàng,Vay ngắn hạn > Vay ngắn hàng,Vay ngắn hàng,21.1,1.152.533.365.523,1.152.533.365.523,2.939.632.515.104,(3.344.835.253.925),747.330.626.702,747.330.626.702,211.0,1152533365523.0,1152533365523.0,2939632515104.0,-3344835253925.0,747330626702.0,747330626702.0
Trải phiếu phát hành,Vay ngắn hạn > Trải phiếu phát hành,Trải phiếu phát hành,21.2,-,-,299.165.833.333,-,299.165.833.333,299.165.833.333,212.0,,,299165833333.0,,299165833333.0,299165833333.0
Trải phiếu phát hành dài hạn đến hạn trả,Vay ngắn hạn > Trải phiếu phát hành dài hạn đến hạn trả,Trải phiếu phát hành dài hạn đến hạn trả,21.2,360.000.000.000,360.000.000.000,360.000.000.000,(360.000.000.000),360.000.000.000,360.000.000.000,212.0,360000000000.0,360000000000.0,360000000000.0,-360000000000.0,360000000000.0,360000000000.0
Vay tổ chức,Vay ngắn hạn > Vay tổ chức,Vay tổ chức,21.3,-,-,33.791.805.908,(4.306.849),33.787.499.059,33.787.499.059,213.0,,,33791805908.0,-4306849.0,33787499059.0,33787499059.0
TỔNG CỘNG,Vay ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,,1.512.533.365.523,1.512.533.365.523,3.632.590.154.345,(3.704.839.560.774),1.440.283.959.094,1.440.283.959.094,,1512533365523.0,1512533365523.0,3632590154345.0,-3704839560774.0,1440283959094.0,1440283959094.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,,,
Trải phiếu phát hành,Vay dài hạn > Trải phiếu phát hành,Trải phiếu phát hành,21.2,1.433.713.636.364,1.433.713.536.364,3.200.000.004,(363.313.636.364),1.073.600.000.004,1.073.600.000.004,212.0,1433713636364.0,1433713536364.0,3200000004.0,-363313636364.0,1073600000004.0,1073600000004.0
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,,1.433.713.636.364,1.433.713.536.364,3.200.000.004,(363.313.636.364),1.073.600.000.004,1.073.600.000.004,,1433713636364.0,1433713536364.0,3200000004.0,-363313636364.0,1073600000004.0,1073600000004.0
