row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn khác (Thuyết minh số 9),Môi quan hệ > Phải thu ngắn hạn khác (Thuyết minh số 9),Nội dung nghiệp vụ > Phải thu ngắn hạn khác (Thuyết minh số 9),Số cuối năm > Phải thu ngắn hạn khác (Thuyết minh số 9),Đơn vị tính: VND Số đầu năm > Phải thu ngắn hạn khác (Thuyết minh số 9),numeric__Môi quan hệ > Phải thu ngắn hạn khác (Thuyết minh số 9),numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn khác (Thuyết minh số 9),numeric__Số cuối năm > Phải thu ngắn hạn khác (Thuyết minh số 9),numeric__Đơn vị tính: VND Số đầu năm > Phải thu ngắn hạn khác (Thuyết minh số 9)
Công ty TNHH Một thành viên Năng lượng GELEX,Công ty TNHH Một thành viên Năng lượng GELEX,Công ty TNHH Một thành viên Năng lượng GELEX,Công ty con,Phải thu về lãi cho vay,1.089.861.112,-,,,1089861112.0,
Công ty Cổ phần Chế tạo Máy điện Việt Nam - Hungari,Công ty Cổ phần Chế tạo Máy điện Việt Nam - Hungari,Công ty Cổ phần Chế tạo Máy điện Việt Nam - Hungari,Công ty con,Phải thu về lãi cho vay,-,2.288.926.363,,,,2288926363.0
Công ty TNHH GELEX Campuchia,Công ty TNHH GELEX Campuchia,Công ty TNHH GELEX Campuchia,Công ty con,Phải thu về thu hồi góp vốn đầu tư,-,4.957.327.000,,,,4957327000.0
,,,,,1.089.861.112,7.246.253.363,,,1089861112.0,7246253363.0
Phải trả người bán ngắn hạn (Thuyết minh số 17),Phải trả người bán ngắn hạn (Thuyết minh số 17),Phải trả người bán ngắn hạn (Thuyết minh số 17),Phải trả người bán ngắn hạn (Thuyết minh số 17),Phải trả người bán ngắn hạn (Thuyết minh số 17),Phải trả người bán ngắn hạn (Thuyết minh số 17),Phải trả người bán ngắn hạn (Thuyết minh số 17),,,,
Công ty Dây đồng Việt Nam - CFT,Phải trả người bán ngắn hạn (Thuyết minh số 17) > Công ty Dây đồng Việt Nam - CFT,Công ty Dây đồng Việt Nam - CFT,Công ty liên kết,Mua hàng hóa,53.602.059.595,43.365.078.051,,,53602059595.0,43365078051.0
Công ty TNHH Một thành viên Gelex Land,Phải trả người bán ngắn hạn (Thuyết minh số 17) > Công ty TNHH Một thành viên Gelex Land,Công ty TNHH Một thành viên Gelex Land,Công ty con,Mua dịch vụ,550.000.000,-,,,550000000.0,
Công ty TNHH Một thành viên Thiết bị đo Điện,Phải trả người bán ngắn hạn (Thuyết minh số 17) > Công ty TNHH Một thành viên Thiết bị đo Điện,Công ty TNHH Một thành viên Thiết bị đo Điện,Công ty con,Mua hàng hóa,-,74.981.795.916,,,,74981795916.0
Công ty Cổ phần Chế tạo Điện cơ Hà Nội,Phải trả người bán ngắn hạn (Thuyết minh số 17) > Công ty Cổ phần Chế tạo Điện cơ Hà Nội,Công ty Cổ phần Chế tạo Điện cơ Hà Nội,Công ty con,Mua hàng hóa,201.758.036,599.349.549,,,201758036.0,599349549.0
Công ty cổ phần Kho Vận Miền Nam,Phải trả người bán ngắn hạn (Thuyết minh số 17) > Công ty cổ phần Kho Vận Miền Nam,Công ty cổ phần Kho Vận Miền Nam,Công ty con,Chi phí vận chuyển,111.650.000,-,,,111650000.0,
,,,,,54.465.467.631,118.946.223.516,,,54465467631.0,118946223516.0
Phải trả khác (Thuyết minh số 21),Phải trả khác (Thuyết minh số 21),Phải trả khác (Thuyết minh số 21),Phải trả khác (Thuyết minh số 21),Phải trả khác (Thuyết minh số 21),Phải trả khác (Thuyết minh số 21),Phải trả khác (Thuyết minh số 21),,,,
Công ty TNHH Một thành viên Gelex Land,Phải trả khác (Thuyết minh số 21) > Công ty TNHH Một thành viên Gelex Land,Công ty TNHH Một thành viên Gelex Land,Công ty con,Đặt cọc thực hiện hợp đồng,45.000.000.000,-,,,45000000000.0,
Công ty cổ phần Kho Vận Miền Nam,Phải trả khác (Thuyết minh số 21) > Công ty cổ phần Kho Vận Miền Nam,Công ty cổ phần Kho Vận Miền Nam,Công ty con,Thu hộ chí hô,134.329.787,-,,,134329787.0,
,,,,,45.134.329.787,-,,,45134329787.0,
