row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,Đơn vị tính: VND > Số đầu năm,Đơn vị tính: VND > Số đầu năm_1,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ,numeric__Đơn vị tính: VND > Số đầu năm,numeric__Đơn vị tính: VND > Số đầu năm_1
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,161.442.662.209,161.442.662.209,6.255.393.883,6.255.393.883,161442662209.0,161442662209.0,6255393883.0,6255393883.0
LS-Nikko Copper Inc.,LS-Nikko Copper Inc.,LS-Nikko Copper Inc.,76.560.415.519,76.560.415.519,-,-,76560415519.0,76560415519.0,,
Công ty TNHH Trung tâm Thép NSSB Sài Gòn,Công ty TNHH Trung tâm Thép NSSB Sài Gòn,Công ty TNHH Trung tâm Thép NSSB Sài Gòn,19.171.913.203,19.171.913.203,-,-,19171913203.0,19171913203.0,,
Phải trả đối tượng khác,Phải trả đối tượng khác,Phải trả đối tượng khác,65.710.333.487,65.710.333.487,6.255.393.883,6.255.393.883,65710333487.0,65710333487.0,6255393883.0,6255393883.0
Phải trả cho các bên liên quan (Thuyết minh số 32),Phải trả cho các bên liên quan (Thuyết minh số 32),Phải trả cho các bên liên quan (Thuyết minh số 32),54.465.467.631,54.465.467.631,118.946.223.516,118.946.223.516,54465467631.0,54465467631.0,118946223516.0,118946223516.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,215.908.129.840,215.908.129.840,125.201.617.399,125.201.617.399,215908129840.0,215908129840.0,125201617399.0,125201617399.0
