row_label_raw,row_label_full,col_0,Số cuối năm > Tỷ lệ sở hữu,Số cuối năm > Giá gốc,Số cuối năm > Dự phòng,Số cuối năm > Giá trị hợp lý,Số đầu năm > Tỷ lệ sở hữu,Số đầu năm > Giá gốc,Số đầu năm > Dự phòng,Số đầu năm > Giá trị hợp lý,numeric__Số cuối năm > Tỷ lệ sở hữu,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Dự phòng,numeric__Số cuối năm > Giá trị hợp lý,numeric__Số đầu năm > Tỷ lệ sở hữu,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Dự phòng,numeric__Số đầu năm > Giá trị hợp lý
Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,,5.042.632.140.092,(13.705.224.548),6.948.945.397.972,,1.971.025.617.177,,2.821.085.860.322,,5042632140092.0,-13705224548.0,6948945397972.0,,1971025617177.0,,2821085860322.0
Công ty TNHH Mốt thành viên Năng lượng GELEX (*),Công ty TNHH Mốt thành viên Năng lượng GELEX (*),Công ty TNHH Mốt thành viên Năng lượng GELEX (*),100%,1.400.000.000.000,,1.400.000.000.000,100%,220.000.000.000,,220.000.000.000,1.0,1400000000000.0,,1400000000000.0,1.0,220000000000.0,,220000000000.0
Công ty Cổ phần Kho vận Miền Nam,Công ty Cổ phần Kho vận Miền Nam,Công ty Cổ phần Kho vận Miền Nam,"54,78%",1.207.900.254.098,,968.759.648.100,(i),,,,0.5478000000000001,1207900254098.0,,968759648100.0,,,,
Công ty Cổ phần Đảy cấp Điện Việt Nam (iv),Công ty Cổ phần Đảy cấp Điện Việt Nam (iv),Công ty Cổ phần Đảy cấp Điện Việt Nam (iv),"79,76%",1.060.409.404.391,,2.389.069.696.000,"74,73%",484.822.695.174,,1.085.865.792.000,0.7976000000000001,1060409404391.0,,2389069696000.0,0.7473000000000001,484822695174.0,,1085865792000.0
Công ty Cổ phần Thiết bị Điện,Công ty Cổ phần Thiết bị Điện,Công ty Cổ phần Thiết bị Điện,"70,79%",576.262.038.822,,1.276.510.504.550,"70,79%",670.662.038.822,,670.662.038.822,0.7079000000000001,576262038822.0,,1276510504550.0,0.7079000000000001,670662038822.0,,670662038822.0
Công ty TNHH Mốt thành viên Thiết bị đo Điện (*),Công ty TNHH Mốt thành viên Thiết bị đo Điện (*),Công ty TNHH Mốt thành viên Thiết bị đo Điện (*),100%,368.000.000.000,,368.000.000.000,100%,368.000.000.000,,368.000.000.000,1.0,368000000000.0,,368000000000.0,1.0,368000000000.0,,368000000000.0
Công ty Cổ phần Chế tạo Điện cơ Hà Nội,Công ty Cổ phần Chế tạo Điện cơ Hà Nội,Công ty Cổ phần Chế tạo Điện cơ Hà Nội,"65,88%",214.009.733.181,,368.482.124.000,"65,88%",214.009.733.181,,463.026.879.500,0.6587999999999999,214009733181.0,,368482124000.0,0.6587999999999999,214009733181.0,,463026879500.0
Công ty Cổ phần K.I.P Việt Nam,Công ty Cổ phần K.I.P Việt Nam,Công ty Cổ phần K.I.P Việt Nam,"72,40%",83.192.391.973,,65.798.784.000,(ii),,,,0.7240000000000001,83192391973.0,,65798784000.0,,,,
Công ty Cổ phần Chế tạo Máy điện Việt Nam – Hungari,Công ty Cổ phần Chế tạo Máy điện Việt Nam – Hungari,Công ty Cổ phần Chế tạo Máy điện Việt Nam – Hungari,"65,37%",82.327.167.627,(12.939.625.870) (**),62.559.090.000 (**),(iii),,,,0.6537000000000001,82327167627.0,,,,,,
Công ty TNHH Mốt thành viên GELEX Land (*),Công ty TNHH Mốt thành viên GELEX Land (*),Công ty TNHH Mốt thành viên GELEX Land (*),100%,50.000.000.000,(765.598.678),49.234.401.322,(v),,,,1.0,50000000000.0,-765598678.0,49234401322.0,,,,
Công ty TNHH GELEX Campuchia (*),Công ty TNHH GELEX Campuchia (*),Công ty TNHH GELEX Campuchia (*),100%,531.150.000,,531.150.000,100%,531.150.000,,531.150.000,1.0,531150000.0,,531150000.0,1.0,531150000.0,,531150000.0
Công ty Cổ phần Đầu tư Xây dựng GELEX (*),Công ty Cổ phần Đầu tư Xây dựng GELEX (*),Công ty Cổ phần Đầu tư Xây dựng GELEX (*),,,,,"81,25%",13.000.000.000,,13.000.000.000,,,,,0.8125,13000000000.0,,13000000000.0
Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,,69.285.387.977,,69.285.387.977,,681.940.062.485,(14.721.860.307),668.239.296.727,,69285387977.0,,69285387977.0,,681940062485.0,-14721860307.0,668239296727.0
Công ty Đảy Đông Việt Nam – CFT (*),Công ty Đảy Đông Việt Nam – CFT (*),Công ty Đảy Đông Việt Nam – CFT (*),"36,35%",69.285.387.977,,69.285.387.977,"36,35%",69.285.387.977,,69.285.387.977,0.3635,69285387977.0,,69285387977.0,0.3635,69285387977.0,,69285387977.0
Công ty Cổ phần Chế tạo Máy điện Việt Nam – Hungari,Công ty Cổ phần Chế tạo Máy điện Việt Nam – Hungari,Công ty Cổ phần Chế tạo Máy điện Việt Nam – Hungari,,,,,"34,27%",16.777.167.627,(14.721.860.307),16.099.560.000,,,,,0.3427,16777167627.0,-14721860307.0,16099560000.0
Công ty Cổ phần Sản xuất và Thương mại EMIC (*) (**),Công ty Cổ phần Sản xuất và Thương mại EMIC (*) (**),Công ty Cổ phần Sản xuất và Thương mại EMIC (*) (**),,,,,"25,50%",5.332.103.750,,5.332.103.750,,,,,0.255,5332103750.0,,5332103750.0
Công ty Cổ phần K.I.P Việt Nam,Công ty Cổ phần K.I.P Việt Nam,Công ty Cổ phần K.I.P Việt Nam,,,,,"49,24%",36.252.566.768,,47.152.245.000,,,,,0.4924,36252566768.0,,47152245000.0
Công ty Cổ phần Kho vận Miền Nam,Công ty Cổ phần Kho vận Miền Nam,Công ty Cổ phần Kho vận Miền Nam,,,,,"24,93%",554.292.836.363,,530.370.000.000,,,,,0.2493,554292836363.0,,530370000000.0
TỔNG CỔNG,TỔNG CỔNG,TỔNG CỔNG,,5.111.917.528.069,(13.705.224.548),7.018.230.785.949,,2.652.965.679.662,(14.721.860.307),3.489.325.157.049,,5111917528069.0,-13705224548.0,7018230785949.0,,2652965679662.0,-14721860307.0,3489325157049.0
