row_label_raw,row_label_full,col_0,I rang,numeric__I rang
Thông tin chung,Thông tin chung,Thông tin chung,1,1.0
Bảo cáo của Ban Tổng Giám đốc,Bảo cáo của Ban Tổng Giám đốc,Bảo cáo của Ban Tổng Giám đốc,2,2.0
Bảo cáo kiểm toán độc lập,Bảo cáo kiểm toán độc lập,Bảo cáo kiểm toán độc lập,3 - 4,
Bảng cân đối kế toán riêng,Bảng cân đối kế toán riêng,Bảng cân đối kế toán riêng,5 - 6,
Bảo cáo kết quả hoạt động kinh doanh riêng,Bảng cân đối kế toán riêng > Bảo cáo kết quả hoạt động kinh doanh riêng,Bảo cáo kết quả hoạt động kinh doanh riêng,7,7.0
Bảo cáo lưu chuyển tiền tệ riêng,Bảo cáo lưu chuyển tiền tệ riêng,Bảo cáo lưu chuyển tiền tệ riêng,8 - 9,
Thuyết minh bảo cáo tài chính riêng,Thuyết minh bảo cáo tài chính riêng,Thuyết minh bảo cáo tài chính riêng,10 - 49,
