row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Tài sản khác (*),Đơn vị tính: VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Tài sản khác (*),numeric__Đơn vị tính: VNDTổng cộng
Nguyễn giá:,Nguyễn giá:,Nguyễn giá:,Nguyễn giá:,Nguyễn giá:,Nguyễn giá:,,,
Số dư đầu năm (trình bày lại)- Kết chuyển từ tài sản cố địnhhửu hình (Thuyết minh số 12),Nguyễn giá: > Số dư đầu năm (trình bày lại)- Kết chuyển từ tài sản cố địnhhửu hình (Thuyết minh số 12),Số dư đầu năm (trình bày lại)- Kết chuyển từ tài sản cố địnhhửu hình (Thuyết minh số 12),95.163.626.739,53.486.138.832,148.649.765.571,95163626739.0,53486138832.0,148649765571.0
Số dư đầu năm (trình bày lại)- Kết chuyển từ tài sản cố địnhhửu hình (Thuyết minh số 12),Nguyễn giá: > Số dư đầu năm (trình bày lại)- Kết chuyển từ tài sản cố địnhhửu hình (Thuyết minh số 12),Số dư đầu năm (trình bày lại)- Kết chuyển từ tài sản cố địnhhửu hình (Thuyết minh số 12),72.579.918.546,41.848.959.074,114.428.877.620,72579918546.0,41848959074.0,114428877620.0
Số dư cuối năm,Nguyễn giá: > Số dư cuối năm,Số dư cuối năm,167.743.545.285,95.335.097.906,263.078.643.191,167743545285.0,95335097906.0,263078643191.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,
Số dư đầu năm (trình bày lại)- Khẩu hao trong năm- Kết chuyển từ tài sản cố địnhhửu hình (Thuyết minh số 12),Giá trị khấu hao lũy kế: > Số dư đầu năm (trình bày lại)- Khẩu hao trong năm- Kết chuyển từ tài sản cố địnhhửu hình (Thuyết minh số 12),Số dư đầu năm (trình bày lại)- Khẩu hao trong năm- Kết chuyển từ tài sản cố địnhhửu hình (Thuyết minh số 12),3.476.476.033,6.467.747.488,9.944.223.521,3476476033.0,6467747488.0,9944223521.0
Số dư đầu năm (trình bày lại)- Khẩu hao trong năm- Kết chuyển từ tài sản cố địnhhửu hình (Thuyết minh số 12),Giá trị khấu hao lũy kế: > Số dư đầu năm (trình bày lại)- Khẩu hao trong năm- Kết chuyển từ tài sản cố địnhhửu hình (Thuyết minh số 12),Số dư đầu năm (trình bày lại)- Khẩu hao trong năm- Kết chuyển từ tài sản cố địnhhửu hình (Thuyết minh số 12),2.124.743.255,5.788.193.319,7.912.936.574,2124743255.0,5788193319.0,7912936574.0
Số dư đầu năm (trình bày lại)- Khẩu hao trong năm- Kết chuyển từ tài sản cố địnhhửu hình (Thuyết minh số 12),Giá trị khấu hao lũy kế: > Số dư đầu năm (trình bày lại)- Khẩu hao trong năm- Kết chuyển từ tài sản cố địnhhửu hình (Thuyết minh số 12),Số dư đầu năm (trình bày lại)- Khẩu hao trong năm- Kết chuyển từ tài sản cố địnhhửu hình (Thuyết minh số 12),3.879.943.092,8.304.658.039,12.184.601.131,3879943092.0,8304658039.0,12184601131.0
Số dư cuối năm,Giá trị khấu hao lũy kế: > Số dư cuối năm,Số dư cuối năm,9.481.162.380,20.560.598.846,30.041.761.226,9481162380.0,20560598846.0,30041761226.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số dư đầu năm (trình bày lại),Giá trị còn lại: > Số dư đầu năm (trình bày lại),Số dư đầu năm (trình bày lại),91.687.150.706,47.018.391.344,138.705.542.050,91687150706.0,47018391344.0,138705542050.0
Số dư cuối năm,Giá trị còn lại: > Số dư cuối năm,Số dư cuối năm,158.262.382.905,74.774.499.060,233.036.881.965,158262382905.0,74774499060.0,233036881965.0
