row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Nhận đặt cọc thực hiện dự án tại số 10 Trần,Ngắn hạn > Nhận đặt cọc thực hiện dự án tại số 10 Trần,Nhận đặt cọc thực hiện dự án tại số 10 Trần,20.000.000.000,20.000.000.000,20000000000.0,20000000000.0
Nguyên Hấn - Hà Nội (*),Ngắn hạn > Nguyên Hấn - Hà Nội (*),Nguyên Hấn - Hà Nội (*),146.970.000,196.615.000,146970000.0,196615000.0
Cổ tức phải trả,Cổ tức phải trả,Cổ tức phải trả,,,,
"Bảo hiểm xã hội, Bảo hiểm y tế và Kinh phí","Cổ tức phải trả > Bảo hiểm xã hội, Bảo hiểm y tế và Kinh phí","Bảo hiểm xã hội, Bảo hiểm y tế và Kinh phí",17.320.058,57.094.956,17320058.0,57094956.0
Công đoàn,Cổ tức phải trả > Công đoàn,Công đoàn,251.218.720,1.949.009.860,251218720.0,1949009860.0
"Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác",,,,
Phải trả khác cho các bên liên quan(Thuyết minh số 32),"Các khoản phải trả, phải nộp khác > Phải trả khác cho các bên liên quan(Thuyết minh số 32)",Phải trả khác cho các bên liên quan(Thuyết minh số 32),45.134.329.787,-,45134329787.0,
TỔNG CỘNG,"Các khoản phải trả, phải nộp khác > TỔNG CỘNG",TỔNG CỘNG,65.549.838.565,22.202.719.816,65549838565.0,22202719816.0
Dải hạn,Dải hạn,Dải hạn,Dải hạn,Dải hạn,,
Chứng quyền đặt mua (**),Dải hạn > Chứng quyền đặt mua (**),Chứng quyền đặt mua (**),90.000.000.000,90.000.000.000,90000000000.0,90000000000.0
"Nhận ký quỹ, ký cược dài hạn","Dải hạn > Nhận ký quỹ, ký cược dài hạn","Nhận ký quỹ, ký cược dài hạn",11.090.733.507,9.062.274.095,11090733507.0,9062274095.0
TỔNG CỘNG,Dải hạn > TỔNG CỘNG,TỔNG CỘNG,101.090.733.507,99.062.274.095,101090733507.0,99062274095.0
