row_label_raw,row_label_full,Các khoản chi phí bán hàng phát sinh trong năm,Năm nay > Các khoản chi phí bán hàng phát sinh trong năm,Đơn vị tính: VNDNăm trước > Các khoản chi phí bán hàng phát sinh trong năm,numeric__Năm nay > Các khoản chi phí bán hàng phát sinh trong năm,numeric__Đơn vị tính: VNDNăm trước > Các khoản chi phí bán hàng phát sinh trong năm
"Chi phí nguyên liệu, vật liệu","Chi phí nguyên liệu, vật liệu","Chi phí nguyên liệu, vật liệu",-,2.092.745.045,,2092745045.0
Chi phí nhân công,Chi phí nhân công,Chi phí nhân công,-,1.317.303.662,,1317303662.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,3.458.256.738,8.059.344.811,3458256738.0,8059344811.0
Chi phí bảo hành (*),Chi phí bảo hành (*),Chi phí bảo hành (*),(18.517.030.360),8.695.114.054,-18517030360.0,8695114054.0
Chi phí bán hàng khác,Chi phí bán hàng khác,Chi phí bán hàng khác,8.250.000,2.325.076.429,8250000.0,2325076429.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,(15.050.523.622),22.489.584.001,-15050523622.0,22489584001.0
Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,,
"Chi phí nguyên liệu, vật liệu","Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm > Chi phí nguyên liệu, vật liệu","Chi phí nguyên liệu, vật liệu",6.902.794.661,4.185.601.659,6902794661.0,4185601659.0
Chi phí nhân công,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm > Chi phí nhân công,Chi phí nhân công,25.703.858.719,27.487.817.753,25703858719.0,27487817753.0
Chi phí khấu hao tài sản cố định,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm > Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,8.164.165.203,1.427.133.546,8164165203.0,1427133546.0
Chi phí dịch vụ mua ngoài,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,5.989.034.588,8.621.475.346,5989034588.0,8621475346.0
Chi phí quản lý doanh nghiệp khác,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm > Chi phí quản lý doanh nghiệp khác,Chi phí quản lý doanh nghiệp khác,20.206.929.363,4.515.332.153,20206929363.0,4515332153.0
TỔNG CỘNG,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm > TỔNG CỘNG,TỔNG CỘNG,66.966.782.534,46.237.360.457,66966782534.0,46237360457.0
