row_label_raw,row_label_full,Năm trước > Số dư đầu năm > - Lợi nhuận thuần trong năm,Vốn cổ phần đã phát hành > Năm trước > 1.550.000.000.000 > -,Thặng dư vốn cổ phần > Năm trước > 66.378.000.000 > -,Cổ phiếu quỹ > Năm trước > (5.025.000.000) > -,Quỹ đầu tư phát triển > Năm trước > 62.000.000.000 > -,Lợi nhuận sau thuế chưa phân phối > Năm trước > 279.157.962.625 > 305.506.529.160,Đơn vị tính: VND > Năm trước > 1.952.510.962.625 > 305.506.529.160,numeric__Vốn cổ phần đã phát hành > Năm trước > 1.550.000.000.000 > -,numeric__Thặng dư vốn cổ phần > Năm trước > 66.378.000.000 > -,numeric__Cổ phiếu quỹ > Năm trước > (5.025.000.000) > -,numeric__Quỹ đầu tư phát triển > Năm trước > 62.000.000.000 > -,numeric__Lợi nhuận sau thuế chưa phân phối > Năm trước > 279.157.962.625 > 305.506.529.160,numeric__Đơn vị tính: VND > Năm trước > 1.952.510.962.625 > 305.506.529.160
- Chia cổ tức,- Chia cổ tức,- Chia cổ tức,-,-,-,-,(154.500.000.000),(154.500.000.000),,,,,-154500000000.0,-154500000000.0
- Trích quỹ đầu tư phát triển,- Trích quỹ đầu tư phát triển,- Trích quỹ đầu tư phát triển,-,-,-,77.656.441.276,(77.656.441.276),-,,,,77656441276.0,-77656441276.0,
- Trích quỹ khen thưởng phúc lợi,- Trích quỹ khen thưởng phúc lợi,- Trích quỹ khen thưởng phúc lợi,-,-,-,-,(15.000.000.000),(15.000.000.000),,,,,-15000000000.0,-15000000000.0
- Trích quỹ thưởng ban điều hành,- Trích quỹ thưởng ban điều hành,- Trích quỹ thưởng ban điều hành,-,-,-,-,(2.495.000.000),(2.495.000.000),,,,,-2495000000.0,-2495000000.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,1.550.000.000.000,66.378.000.000,(5.025.000.000),139.656.441.276,335.013.050.509,2.086.022.491.785,1550000000000.0,66378000000.0,-5025000000.0,139656441276.0,335013050509.0,2086022491785.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,
Số dư đầu năm,Năm nay > Số dư đầu năm,Số dư đầu năm,1.550.000.000.000,66.378.000.000,(5.025.000.000),139.656.441.276,335.013.050.509,2.086.022.491.785,1550000000000.0,66378000000.0,-5025000000.0,139656441276.0,335013050509.0,2086022491785.0
- Tăng vốn trong năm (*),Năm nay > - Tăng vốn trong năm (*),- Tăng vốn trong năm (*),770.000.000.000,615.729.724.760,-,-,-,1.385.729.724.760,770000000000.0,615729724760.0,,,,1385729724760.0
- Phát hành cổ phiếu để tảng vốn cổ phần tử nguồn vốn chủ sở hữu (**),Năm nay > - Phát hành cổ phiếu để tảng vốn cổ phần tử nguồn vốn chủ sở hữu (**),- Phát hành cổ phiếu để tảng vốn cổ phần tử nguồn vốn chủ sở hữu (**),348.000.000.000,(66.378.000.000),-,(139.656.441.276),(141.965.558.724),-,348000000000.0,-66378000000.0,,-139656441276.0,-141965558724.0,
- Lợi nhuận thuần trong năm,Năm nay > - Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,-,-,369.308.348.713,369.308.348.713,,,,,369308348713.0,369308348713.0
- Chia cổ tức (***),Năm nay > - Chia cổ tức (***),- Chia cổ tức (***),-,-,-,-,(232.000.000.000),(232.000.000.000),,,,,-232000000000.0,-232000000000.0
- Trích quỹ khen thưởng phúc lợi (***),Năm nay > - Trích quỹ khen thưởng phúc lợi (***),- Trích quỹ khen thưởng phúc lợi (***),-,-,-,-,(12.110.131.000),(12.110.131.000),,,,,-12110131000.0,-12110131000.0
- Bán cổ phiếu quỹ,Năm nay > - Bán cổ phiếu quỹ,- Bán cổ phiếu quỹ,-,6.608.000.000,5.025.000.000,-,-,11.633.000.000,,6608000000.0,5025000000.0,,,11633000000.0
Số dư cuối năm,Năm nay > Số dư cuối năm,Số dư cuối năm,2.668.000.000.000,622.337.724.760,-,-,318.245.709.498,3.608.583.434.258,2668000000000.0,622337724760.0,,,318245709498.0,3608583434258.0
