row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị ghi số,Số cuối năm > Dư phòng,Số đầu năm(Trình bày lại) > Giá gốc,Số đầu năm(Trình bày lại) > Giá trị ghi số,Số đầu năm(Trình bày lại) > Dư phòng,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị ghi số,numeric__Số cuối năm > Dư phòng,numeric__Số đầu năm(Trình bày lại) > Giá gốc,numeric__Số đầu năm(Trình bày lại) > Giá trị ghi số,numeric__Số đầu năm(Trình bày lại) > Dư phòng
Trái phiếu (i),Trái phiếu (i),Trái phiếu (i),233.000.000.000,233.000.000.000,-,197.046.708.523,197.046.708.523,-,233000000000.0,233000000000.0,,197046708523.0,197046708523.0,
Cố phiếu,Cố phiếu,Cố phiếu,4.870.895.400,4.870.895.400,(1.557.575.500),-,-,-,4870895400.0,4870895400.0,-1557575500.0,,,
Ủy thác dấu tư(ii),Ủy thác dấu tư(ii),Ủy thác dấu tư(ii),44.403.826.847,44.403.826.847,(2.539.782.900),-,-,-,44403826847.0,44403826847.0,-2539782900.0,,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,282.274.722.247,282.274.722.247,(4.097.358.400),197.046.708.523,197.046.708.523,-,282274722247.0,282274722247.0,-4097358400.0,197046708523.0,197046708523.0,
