row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7) > Công ty Cổ phần Đây cấp Điện Việt Nam,Môi quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7) > Công ty con,Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7) > Bán hàng hóa,Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7) > 132.654.183.494,Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7) > 81.430.811.033,numeric__Môi quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7) > Công ty con,numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7) > Bán hàng hóa,numeric__Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7) > 132.654.183.494,numeric__Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7) > 81.430.811.033
Công ty Cổ phần Thiết bị Điện,Công ty Cổ phần Thiết bị Điện,Công ty Cổ phần Thiết bị Điện,Công ty con,Bán hàng hóa,100.478.204.961,-,,,100478204961.0,
Công ty TNHH Một thành viên Thiết bị đo Điện,Công ty TNHH Một thành viên Thiết bị đo Điện,Công ty TNHH Một thành viên Thiết bị đo Điện,Công ty con,Bán hàng hóa,696.238.993,48.364.902,,,696238993.0,48364902.0
Công ty TNHH Một thành viên Cadivi Miền Bắc,Công ty TNHH Một thành viên Cadivi Miền Bắc,Công ty TNHH Một thành viên Cadivi Miền Bắc,Công ty con,Cung cấp dịch vụ,608.919.940,-,,,608919940.0,
Công ty Cổ phần Chế tạo Điện cơ Hà Nội,Công ty Cổ phần Chế tạo Điện cơ Hà Nội,Công ty Cổ phần Chế tạo Điện cơ Hà Nội,Công ty con,Bán hàng hóa,-,485.617,,,,485617.0
Công ty TNHH GELEX Campuchia,Công ty TNHH GELEX Campuchia,Công ty TNHH GELEX Campuchia,Công ty con,Bán hàng hóa,-,10.881.605.862,,,,10881605862.0
Công ty Cổ phần Đầu tư Xây dựng GELEX,Công ty Cổ phần Đầu tư Xây dựng GELEX,Công ty Cổ phần Đầu tư Xây dựng GELEX,Công ty con,Bán hàng hóa,-,297.221.650,,,,297221650.0
Công ty TNHH Một thành viên Năng lượng GELEX,Công ty TNHH Một thành viên Năng lượng GELEX,Công ty TNHH Một thành viên Năng lượng GELEX,Công ty con,Cung cấp dịch vụ,1.278.915,-,,,1278915.0,
Công ty CP Chế tạo Bơm Hải Dương,Công ty CP Chế tạo Bơm Hải Dương,Công ty CP Chế tạo Bơm Hải Dương,Cùng thành viên HĐQT,Cung cấp dịch vụ,1.334.520,-,,,1334520.0,
,,,,,234.440.160.823,92.658.489.064,,,234440160823.0,92658489064.0
Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),,,,
Công ty TNHH Một thành viên Năng lượng GELEX,Phải thu về cho vay ngắn hạn (Thuyết minh số 8) > Công ty TNHH Một thành viên Năng lượng GELEX,Công ty TNHH Một thành viên Năng lượng GELEX,Công ty con,Cho vay ngắn hạn,355.000.000.000,-,,,355000000000.0,
Công ty Cổ phần Chế tạo Máy điện Việt Nam – Hungari,Phải thu về cho vay ngắn hạn (Thuyết minh số 8) > Công ty Cổ phần Chế tạo Máy điện Việt Nam – Hungari,Công ty Cổ phần Chế tạo Máy điện Việt Nam – Hungari,Công ty con,Cho vay ngắn hạn,-,2.000.000.000,,,,2000000000.0
,,,,,355.000.000.000,2.000.000.000,,,355000000000.0,2000000000.0
