row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Mãy móc,thiết bị","Phương tiếnvận tải, truyền dẫn","Thiết bị, dụng cụquản lý",Đơn vị tính:VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Mãy móc,thiết bị","numeric__Phương tiếnvận tải, truyền dẫn","numeric__Thiết bị, dụng cụquản lý",numeric__Đơn vị tính:VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số dư đầu năm (trình bày lại)- Tăng trong năm- Chuyển sang bất động sảnđầu tư (Thuyết minh số 13),Số dư đầu năm (trình bày lại)- Tăng trong năm- Chuyển sang bất động sảnđầu tư (Thuyết minh số 13),Số dư đầu năm (trình bày lại)- Tăng trong năm- Chuyển sang bất động sảnđầu tư (Thuyết minh số 13),218.151.651.278500.000.000(72.579.918.546),39.195.985.3801.310.296.976(7.733.504.510),9.996.540.9092.296.720.000-,51.914.149.390795.437.146(34.115.454.564),319.258.326.9574.902.454.122(114.428.877.620),,,,,
Số dư cuối năm,Số dư đầu năm (trình bày lại)- Tăng trong năm- Chuyển sang bất động sảnđầu tư (Thuyết minh số 13) > Số dư cuối năm,Số dư cuối năm,146.071.732.732,32.772.777.846,12.293.260.909,18.594.131.972,209.731.903.459,146071732732.0,32772777846.0,12293260909.0,18594131972.0,209731903459.0
Trong đó:Đã khấu hao hết,Số dư đầu năm (trình bày lại)- Tăng trong năm- Chuyển sang bất động sảnđầu tư (Thuyết minh số 13) > Trong đó:Đã khấu hao hết,Trong đó:Đã khấu hao hết,29.609.226.398,21.166.449.247,3.734.250.000,422.929.864,54.932.855.509,29609226398.0,21166449247.0,3734250000.0,422929864.0,54932855509.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,
Số dư đầu năm (trình bày lại)- Khấu hao trong năm- Chuyển sang bất động sảnđầu tư (Thuyết minh số 13),Số dư đầu năm (trình bày lại)- Khấu hao trong năm- Chuyển sang bất động sảnđầu tư (Thuyết minh số 13),Số dư đầu năm (trình bày lại)- Khấu hao trong năm- Chuyển sang bất động sảnđầu tư (Thuyết minh số 13),68.864.959.0545.077.012.345(3.879.943.092),23.977.807.8791.439.773.166(1.081.136.944),4.621.891.4161.171.310.712-,7.173.075.0574.677.378.632(7.223.521.095),104.637.733.40612.365.474.855(12.184.601.131),,,,,
Số dư cuối năm,Số dư đầu năm (trình bày lại)- Khấu hao trong năm- Chuyển sang bất động sảnđầu tư (Thuyết minh số 13) > Số dư cuối năm,Số dư cuối năm,70.062.028.307,24.336.444.101,5.793.202.128,4.626.932.594,104.818.607.130,70062028307.0,24336444101.0,5793202128.0,4626932594.0,104818607130.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số dư đầu năm (trình bày lại),Giá trị còn lại: > Số dư đầu năm (trình bày lại),Số dư đầu năm (trình bày lại),149.286.692.224,15.218.177.501,5.374.649.493,44.741.074.333,214.620.593.551,149286692224.0,15218177501.0,5374649493.0,44741074333.0,214620593551.0
Số dư cuối năm,Giá trị còn lại: > Số dư cuối năm,Số dư cuối năm,76.009.704.425,8.436.333.745,6.500.058.781,13.967.199.378,104.913.296.329,76009704425.0,8436333745.0,6500058781.0,13967199378.0,104913296329.0
