row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VND > Năm trước,numeric__Năm nay,numeric__Đơn vị tính: VND > Năm trước
Thu nhập khác,Thu nhập khác,Thu nhập khác,2.510.129.973,3.524.130.157,2510129973.0,3524130157.0
Hoàn nhập Quý phát triển khoa học và công nghệ,Hoàn nhập Quý phát triển khoa học và công nghệ,Hoàn nhập Quý phát triển khoa học và công nghệ,1.439.049.988,-,1439049988.0,
Xử lý công nợ phải trả,Xử lý công nợ phải trả,Xử lý công nợ phải trả,1.067.729.985,-,1067729985.0,
"Lãi từ thanh lý, nhượng bán tải sản cố định","Lãi từ thanh lý, nhượng bán tải sản cố định","Lãi từ thanh lý, nhượng bán tải sản cố định",-,35.001.600,,35001600.0
Lãi do đánh giá lại tải sản,Lãi do đánh giá lại tải sản,Lãi do đánh giá lại tải sản,-,3.391.987.600,,3391987600.0
Khác,Khác,Khác,3.350.000,97.140.957,3350000.0,97140957.0
Chỉ phí khác,Chỉ phí khác,Chỉ phí khác,1.271.494.240,4.613.221.981,1271494240.0,4613221981.0
Các khoản phát,Các khoản phát,Các khoản phát,1.271.494.240,4.135.231.423,1271494240.0,4135231423.0
Khác,Khác,Khác,-,477.990.558,,477990558.0
LỢI NHUẬN/(LỔ) THUÀN KHÁC,LỢI NHUẬN/(LỔ) THUÀN KHÁC,LỢI NHUẬN/(LỔ) THUÀN KHÁC,1.238.635.733,(1.089.091.824),1238635733.0,-1089091824.0
