row_label_raw,row_label_full,Ông Nguyễn Văn Tuân,Tổng Giám đốc,col_2,numeric__Tổng Giám đốc,numeric__col_2
Ông Nguyễn Trọng Tiểu,Ông Nguyễn Trọng Tiểu,Ông Nguyễn Trọng Tiểu,Giám đốc Điều hành,Bổ nhiệm ngày 8 tháng 3 năm 2018,,
Ông Nguyễn Đình Hùng,Ông Nguyễn Đình Hùng,Ông Nguyễn Đình Hùng,Phó Tổng Giám đốc,Miễn nhiệm ngày 15 tháng 9 năm 2017,,
