row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Từ 01/01/2018 đến31/10/2018VND,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Từ 01/01/2018 đến31/10/2018VND
,,,I. LU'U CHUYỄN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LU'U CHUYỄN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LU'U CHUYỄN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,,,
01,01,01,1. Lợi nhuận trước thuế,,734.202.424.527,,,734202424527.0
01,01,01,2. Điều chỉnh cho các khoản,,,,,
02,01 > 02,02,Khấu hao tài sản cố định và bất động sản đầu tư,,1.527.375.531,,,1527375531.0
03,01 > 03,03,Các khoản dự phòng,,(84.817.165),,,-84817165.0
05,01 > 05,05,"Lãi, lỗ từ hoạt động đầu tư",,(230.256.781.878),,,-230256781878.0
06,01 > 06,06,Chi phí lãi vay,,51.619.064.697,,,51619064697.0
08,01 > 08,08,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,,557.007.265.712,,,557007265712.0
09,01 > 09,09,"Tăng, giảm các khoản phải thu",,(430.392.498.000),,,-430392498000.0
10,01 > 10,10,"Tăng, giảm hàng tồn kho",,(27.477.508.370),,,-27477508370.0
11,01 > 11,11,"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",,(171.642.367.759),,,-171642367759.0
12,01 > 12,12,"Tăng, giảm chi phí trả trước",,1.510.699.914,,,1510699914.0
14,01 > 14,14,Tiền lãi vay đã trả,,(46.233.030.044),,,-46233030044.0
15,01 > 15,15,Thuế thu nhập doanh nghiệp đã nộp,,(73.045.113.538),,,-73045113538.0
17,01 > 17,17,Tiền chi khác cho hoạt động kinh doanh,,(2.200.984.312),,,-2200984312.0
20,01 > 20,20,Lưu chuyển tiền thuần từ hoạt động kinh doanh,,(192.473.536.397),,,-192473536397.0
,,,II. LU'U CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LU'U CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LU'U CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,
21,01 > 21,21,"1. Tiền chi đề mua sắm, xây dựng tài sản cố định và các tài sản dài hạn khác",,(7.727.430.930),,,-7727430930.0
23,01 > 23,23,"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",,(176.101.491.530),,,-176101491530.0
24,01 > 24,24,"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",,16.293.636.638,,,16293636638.0
25,01 > 25,25,5. Tiền chi đầu tư góp vốn vào đơn vị khác,,(80.000.005.000),,,-80000005000.0
27,01 > 27,27,"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",,402.838.600.665,,,402838600665.0
30,01 > 30,30,Lưu chuyển tiền thuần từ hoạt động đầu tư,,155.303.309.843,,,155303309843.0
