row_label_raw,row_label_full,col_0,01/01/2018 > Giá trị,01/01/2018 > Số có khả năng trả nợ,Trong kỳ > Tăng,Trong kỳ > Giảm,31/10/2018 > Giá trị,31/10/2018 > Số có khả năng trả nợ,numeric__01/01/2018 > Giá trị,numeric__01/01/2018 > Số có khả năng trả nợ,numeric__Trong kỳ > Tăng,numeric__Trong kỳ > Giảm,numeric__31/10/2018 > Giá trị,numeric__31/10/2018 > Số có khả năng trả nợ
,,,VND,VND,VND,VND,VND,VND,,,,,,
a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,595.000.000.000,595.000.000.000,380.000.000.000,320.000.000.000,655.000.000.000,655.000.000.000,595000000000.0,595000000000.0,380000000000.0,320000000000.0,655000000000.0,655000000000.0
- Ngân hàng TMCP Đầu tư và Phát triển Việt Nam (BIDV) - CN Bình Dương\( ^{(1)} \),- Ngân hàng TMCP Đầu tư và Phát triển Việt Nam (BIDV) - CN Bình Dương\( ^{(1)} \),- Ngân hàng TMCP Đầu tư và Phát triển Việt Nam (BIDV) - CN Bình Dương\( ^{(1)} \),420.000.000.000,420.000.000.000,-,320.000.000.000,100.000.000.000,100.000.000.000,420000000000.0,420000000000.0,,320000000000.0,100000000000.0,100000000000.0
- Văn phòng Tinh uỷ Bình Dương\( ^{(2)} \),- Văn phòng Tinh uỷ Bình Dương\( ^{(2)} \),- Văn phòng Tinh uỷ Bình Dương\( ^{(2)} \),75.000.000.000,75.000.000.000,-,-,75.000.000.000,75.000.000.000,75000000000.0,75000000000.0,,,75000000000.0,75000000000.0
- Quỹ Đầu tư Phát triển Tinh Bình Dương\( ^{(3)} \),- Quỹ Đầu tư Phát triển Tinh Bình Dương\( ^{(3)} \),- Quỹ Đầu tư Phát triển Tinh Bình Dương\( ^{(3)} \),-,-,300.000.000.000,-,300.000.000.000,300.000.000.000,,,300000000000.0,,300000000000.0,300000000000.0
- Công ty TNHH MTV Quốc tế Protrade\( ^{(4)} \),- Công ty TNHH MTV Quốc tế Protrade\( ^{(4)} \),- Công ty TNHH MTV Quốc tế Protrade\( ^{(4)} \),100.000.000.000,100.000.000.000,80.000.000.000,-,180.000.000.000,180.000.000.000,100000000000.0,100000000000.0,80000000000.0,,180000000000.0,180000000000.0
Nợ dài hạn đến hạn trả,Nợ dài hạn đến hạn trả,Nợ dài hạn đến hạn trả,195.517.707.014,195.517.707.014,120.000.000.000,155.517.707.014,160.000.000.000,160.000.000.000,195517707014.0,195517707014.0,120000000000.0,155517707014.0,160000000000.0,160000000000.0
- Quỹ Đầu tư Phát triển Tinh Bình Dương,- Quỹ Đầu tư Phát triển Tinh Bình Dương,- Quỹ Đầu tư Phát triển Tinh Bình Dương,150.000.000.000,150.000.000.000,120.000.000.000,110.000.000.000,160.000.000.000,160.000.000.000,150000000000.0,150000000000.0,120000000000.0,110000000000.0,160000000000.0,160000000000.0
- Công ty Cổ phần May mặc Bình Dương,- Công ty Cổ phần May mặc Bình Dương,- Công ty Cổ phần May mặc Bình Dương,45.517.707.014,45.517.707.014,-,45.517.707.014,-,-,45517707014.0,45517707014.0,,45517707014.0,,
,,,790.517.707.014,790.517.707.014,500.000.000.000,475.517.707.014,815.000.000.000,815.000.000.000,790517707014.0,790517707014.0,500000000000.0,475517707014.0,815000000000.0,815000000000.0
