row_label_raw,row_label_full,col_0,Vốn đầu tư của Chủ sở hữu,Chênh lệch đánh giá lại tài sản,Chênh lệch tỷ giá hối đoái,Quỹ đầu tư phát triển,Lợi nhuận chưa phân phối,Cộng,numeric__Vốn đầu tư của Chủ sở hữu,numeric__Chênh lệch đánh giá lại tài sản,numeric__Chênh lệch tỷ giá hối đoái,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận chưa phân phối,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
Số dư đầu kỳ trước,Số dư đầu kỳ trước,Số dư đầu kỳ trước,1.350.000.000.000,-,-,193.445.858.281,227.164.170.402,1.770.610.028.683,1350000000000.0,,,193445858281.0,227164170402.0,1770610028683.0
Lãi trong kỳ trước,Lãi trong kỳ trước,Lãi trong kỳ trước,-,-,-,-,311.786.874.471,311.786.874.471,,,,,311786874471.0,311786874471.0
Trích nộp ngân sách Đảng từ lợi nhuận năm 2016,Trích nộp ngân sách Đảng từ lợi nhuận năm 2016,Trích nộp ngân sách Đảng từ lợi nhuận năm 2016,-,-,-,-,(21.694.258.869),(21.694.258.869),,,,,-21694258869.0,-21694258869.0
Lợi nhuận nộp về chủ sở hữu,Lợi nhuận nộp về chủ sở hữu,Lợi nhuận nộp về chủ sở hữu,-,-,-,-,(197.549.502.648),(197.549.502.648),,,,,-197549502648.0,-197549502648.0
"Trích Quỹ khen thưởng, phúc lợi","Trích Quỹ khen thưởng, phúc lợi","Trích Quỹ khen thưởng, phúc lợi",-,-,-,-,(7.920.408.885),(7.920.408.885),,,,,-7920408885.0,-7920408885.0
Bản giao tài sản cho Công ty TNHH Đầu tư và Quản lý Dự án Bình Dương,Bản giao tài sản cho Công ty TNHH Đầu tư và Quản lý Dự án Bình Dương,Bản giao tài sản cho Công ty TNHH Đầu tư và Quản lý Dự án Bình Dương,-,-,-,(148.675.186.446),-,(148.675.186.446),,,,-148675186446.0,,-148675186446.0
Số dư cuối kỳ trước,Số dư cuối kỳ trước,Số dư cuối kỳ trước,1.350.000.000.000,-,-,44.770.671.835,311.786.874.471,1.706.557.546.306,1350000000000.0,,,44770671835.0,311786874471.0,1706557546306.0
Tăng vốn trong kỳ (*),Tăng vốn trong kỳ (*),Tăng vốn trong kỳ (*),953.607.192.984,-,-,-,-,953.607.192.984,953607192984.0,,,,,953607192984.0
Lãi trong kỳ này,Lãi trong kỳ này,Lãi trong kỳ này,-,-,-,-,644.383.003.106,644.383.003.106,,,,,644383003106.0,644383003106.0
