row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Cộng,numeric__Quyền sử dụng đất,numeric__Cộng
,,,VND,VND,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,
Số dư đầu kỳ,Nguyên giá > Số dư đầu kỳ,Số dư đầu kỳ,106.230.719.733,106.230.719.733,106230719733.0,106230719733.0
- Phân loại lại,Nguyên giá > - Phân loại lại,- Phân loại lại,20.430.489.927,20.430.489.927,20430489927.0,20430489927.0
- Tăng trong kỳ,Nguyên giá > - Tăng trong kỳ,- Tăng trong kỳ,133.006.100,133.006.100,133006100.0,133006100.0
"- Thanh lý, nhượng bán","- Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,,
- Bàn giao cho Công ty TNHH Quản lý và Đầu tư Dự án Bình Dương (*),"- Thanh lý, nhượng bán > - Bàn giao cho Công ty TNHH Quản lý và Đầu tư Dự án Bình Dương (*)",- Bàn giao cho Công ty TNHH Quản lý và Đầu tư Dự án Bình Dương (*),(48.794.215.760),(48.794.215.760),-48794215760.0,-48794215760.0
Số dư cuối kỳ,"- Thanh lý, nhượng bán > Số dư cuối kỳ",Số dư cuối kỳ,78.000.000.000,78.000.000.000,78000000000.0,78000000000.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,
Số dư đầu kỳ,Giá trị hao mòn lũy kế > Số dư đầu kỳ,Số dư đầu kỳ,435.994.002,435.994.002,435994002.0,435994002.0
- Khấu hao trong kỳ,Giá trị hao mòn lũy kế > - Khấu hao trong kỳ,- Khấu hao trong kỳ,28.434.384,28.434.384,28434384.0,28434384.0
- Bàn giao cho Công ty TNHH Quản lý và Đầu tư Dự án Bình Dương (*),Giá trị hao mòn lũy kế > - Bàn giao cho Công ty TNHH Quản lý và Đầu tư Dự án Bình Dương (*),- Bàn giao cho Công ty TNHH Quản lý và Đầu tư Dự án Bình Dương (*),(464.428.386),(464.428.386),-464428386.0,-464428386.0
Số dư cuối kỳ,Số dư cuối kỳ,Số dư cuối kỳ,-,-,,
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,
Tại ngày đầu kỳ,Giá trị còn lại > Tại ngày đầu kỳ,Tại ngày đầu kỳ,105.794.725.731,105.794.725.731,105794725731.0,105794725731.0
Tại ngày cuối kỳ,Giá trị còn lại > Tại ngày cuối kỳ,Tại ngày cuối kỳ,78.000.000.000,78.000.000.000,78000000000.0,78000000000.0
