row_label_raw,row_label_full,Đầu tư vào Công ty conThông tin chỉ tiết về các công ty con của Công ty vào ngày 31/10/2018 như sau:Tên Công ty,Nơi thành lập và hoạt động,Tỷ lệ lợi ích,Tỷ lệ biểu quyết,Hoạt động kinh doanh chính,numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ lợi ích,numeric__Tỷ lệ biểu quyết,numeric__Hoạt động kinh doanh chính
"- KP Apparel Manufacturing Co.,Ltd","- KP Apparel Manufacturing Co.,Ltd","- KP Apparel Manufacturing Co.,Ltd",Vương quốc Campuchia,"100,00%","100,00%","SX XNK hàng sợi, vải, may mặc..",,1.0,1.0,
- Công ty TNHH MTV Giấy Vĩnh Phú,- Công ty TNHH MTV Giấy Vĩnh Phú,- Công ty TNHH MTV Giấy Vĩnh Phú,Tinh Bình Dương,"100,00%","100,00%","SX, KD sản phẩm từ giấy",,1.0,1.0,
- Công ty CP Thương mại Tổng hợp Thuận An,- Công ty CP Thương mại Tổng hợp Thuận An,- Công ty CP Thương mại Tổng hợp Thuận An,Tinh Bình Dương,"62,68%","62,68%",Kinh doanh thương mại,,0.6268,0.6268,
- Công ty TNHH MTV Quốc Tế Protrade,- Công ty TNHH MTV Quốc Tế Protrade,- Công ty TNHH MTV Quốc Tế Protrade,Tinh Bình Dương,"100,00%","100,00%",Kinh doanh hạ tầng Khu công nghiệp,,1.0,1.0,
- Công ty TNHH Sân golf Palm Sông Bé,- Công ty TNHH Sân golf Palm Sông Bé,- Công ty TNHH Sân golf Palm Sông Bé,Tinh Bình Dương,"100,00%","100,00%",Kinh doanh sân Golf,,1.0,1.0,
"Đầu tư vào Công ty liên doanh, liên kếtThông tin chỉ tiết về các công ty liên doanh, liên kết của Công ty vào ngày 31/10/2018 như sau:Tên Công ty","Đầu tư vào Công ty liên doanh, liên kếtThông tin chỉ tiết về các công ty liên doanh, liên kết của Công ty vào ngày 31/10/2018 như sau:Tên Công ty","Đầu tư vào Công ty liên doanh, liên kếtThông tin chỉ tiết về các công ty liên doanh, liên kết của Công ty vào ngày 31/10/2018 như sau:Tên Công ty",Nơi thành lập và hoạt động,Tỷ lệ lợi ích,Tỷ lệ biểu quyết,Hoạt động kinh doanh chính,,,,
- Công ty CP Cao su Dầu Tiếng Việt Lào,"Đầu tư vào Công ty liên doanh, liên kếtThông tin chỉ tiết về các công ty liên doanh, liên kết của Công ty vào ngày 31/10/2018 như sau:Tên Công ty > - Công ty CP Cao su Dầu Tiếng Việt Lào",- Công ty CP Cao su Dầu Tiếng Việt Lào,Tinh Bình Dương,"40,00%","40,00%","Trồng, khai thác, chế biến mù cao su",,0.4,0.4,
- Công ty Cổ phần phát triển Phú Mỹ,"Đầu tư vào Công ty liên doanh, liên kếtThông tin chỉ tiết về các công ty liên doanh, liên kết của Công ty vào ngày 31/10/2018 như sau:Tên Công ty > - Công ty Cổ phần phát triển Phú Mỹ",- Công ty Cổ phần phát triển Phú Mỹ,Tinh Bình Dương,"35,00%","35,00%","KD BDS, kinh doanh sân golf",,0.35,0.35,
- Công ty TNHH FrieslandCampina VN,"Đầu tư vào Công ty liên doanh, liên kếtThông tin chỉ tiết về các công ty liên doanh, liên kết của Công ty vào ngày 31/10/2018 như sau:Tên Công ty > - Công ty TNHH FrieslandCampina VN",- Công ty TNHH FrieslandCampina VN,Tinh Bình Dương,"30,00%","30,00%",Kinh doanh sữa và nước giải khát,,0.3,0.3,
- Công ty CP Bệnh viện Đa khoa Quốc tế Hạnh Phúc,"Đầu tư vào Công ty liên doanh, liên kếtThông tin chỉ tiết về các công ty liên doanh, liên kết của Công ty vào ngày 31/10/2018 như sau:Tên Công ty > - Công ty CP Bệnh viện Đa khoa Quốc tế Hạnh Phúc",- Công ty CP Bệnh viện Đa khoa Quốc tế Hạnh Phúc,Tinh Bình Dương,"24,00%","24,00%",Dịch vụ y tế,,0.24,0.24,
