row_label_raw,row_label_full,col_0,Từ 01/01/2018 đến31/10/2018,numeric__Từ 01/01/2018 đến31/10/2018
,,,VND,
Thuế TNDN từ hoạt động kinh doanh chính,Thuế TNDN từ hoạt động kinh doanh chính,Thuế TNDN từ hoạt động kinh doanh chính,Thuế TNDN từ hoạt động kinh doanh chính,
Tổng lợi nhuận kế toán trước thuế TNDN,Thuế TNDN từ hoạt động kinh doanh chính > Tổng lợi nhuận kế toán trước thuế TNDN,Tổng lợi nhuận kế toán trước thuế TNDN,285.105.317.422,285105317422.0
Các khoản điều chỉnh tăng,Thuế TNDN từ hoạt động kinh doanh chính > Các khoản điều chỉnh tăng,Các khoản điều chỉnh tăng,10.342.534.150,10342534150.0
Các khoản điều chỉnh giảm,Thuế TNDN từ hoạt động kinh doanh chính > Các khoản điều chỉnh giảm,Các khoản điều chỉnh giảm,(534.003.358.605),-534003358605.0
- Cổ tức lợi nhuận được chia,Thuế TNDN từ hoạt động kinh doanh chính > - Cổ tức lợi nhuận được chia,- Cổ tức lợi nhuận được chia,(534.003.358.605),-534003358605.0
Thu nhập chịu thuế thu nhập doanh nghiệp,Thuế TNDN từ hoạt động kinh doanh chính > Thu nhập chịu thuế thu nhập doanh nghiệp,Thu nhập chịu thuế thu nhập doanh nghiệp,(238.555.507.033),-238555507033.0
Chi phí thuế TNDN hiện hành (thuế suất 20%),Chi phí thuế TNDN hiện hành (thuế suất 20%),Chi phí thuế TNDN hiện hành (thuế suất 20%),-,
Thuế TNDN phải nộp đầu kỳ,Thuế TNDN phải nộp đầu kỳ,Thuế TNDN phải nộp đầu kỳ,-,
Thuế TNDN đã nộp trong kỳ,Thuế TNDN đã nộp trong kỳ,Thuế TNDN đã nộp trong kỳ,-,
Thuế TNDN phải nộp cuối kỳ từ hoạt động kinh doanh chính,Thuế TNDN phải nộp cuối kỳ từ hoạt động kinh doanh chính,Thuế TNDN phải nộp cuối kỳ từ hoạt động kinh doanh chính,-,
Thuế TNDN từ hoạt động kinh doanh bất động sản,Thuế TNDN từ hoạt động kinh doanh bất động sản,Thuế TNDN từ hoạt động kinh doanh bất động sản,Thuế TNDN từ hoạt động kinh doanh bất động sản,
Tổng lợi nhuận kế toán từ hoạt động kinh doanh bất động sản,Thuế TNDN từ hoạt động kinh doanh bất động sản > Tổng lợi nhuận kế toán từ hoạt động kinh doanh bất động sản,Tổng lợi nhuận kế toán từ hoạt động kinh doanh bất động sản,449.097.107.105,449097107105.0
Các khoản điều chỉnh tăng,Các khoản điều chỉnh tăng,Các khoản điều chỉnh tăng,-,
Các khoản điều chỉnh giảm,Các khoản điều chỉnh giảm,Các khoản điều chỉnh giảm,-,
Thu nhập chịu thuế Thu nhập doanh nghiệp,Các khoản điều chỉnh giảm > Thu nhập chịu thuế Thu nhập doanh nghiệp,Thu nhập chịu thuế Thu nhập doanh nghiệp,449.097.107.105,449097107105.0
Thuế suất thuế TNDN,Các khoản điều chỉnh giảm > Thuế suất thuế TNDN,Thuế suất thuế TNDN,20%,0.2
Chi phí thuế TNDN hiện hành (thuế suất 20%),Các khoản điều chỉnh giảm > Chi phí thuế TNDN hiện hành (thuế suất 20%),Chi phí thuế TNDN hiện hành (thuế suất 20%),89.819.421.421,89819421421.0
Các khoản tạm nộp trên số tiền thu trước của HĐKD bất động sản,Các khoản điều chỉnh giảm > Các khoản tạm nộp trên số tiền thu trước của HĐKD bất động sản,Các khoản tạm nộp trên số tiền thu trước của HĐKD bất động sản,28.144.714.584,28144714584.0
Thuế TNDN phải nộp đầu kỳ của HĐKD bất động sản,Các khoản điều chỉnh giảm > Thuế TNDN phải nộp đầu kỳ của HĐKD bất động sản,Thuế TNDN phải nộp đầu kỳ của HĐKD bất động sản,(16.774.279.006),-16774279006.0
Thuế TNDN đã nộp trong kỳ của HĐKD bất động sản,Các khoản điều chỉnh giảm > Thuế TNDN đã nộp trong kỳ của HĐKD bất động sản,Thuế TNDN đã nộp trong kỳ của HĐKD bất động sản,(73.045.113.538),-73045113538.0
Thuế TNDN phải nộp cuối kỳ của HĐKD bất động sản,Các khoản điều chỉnh giảm > Thuế TNDN phải nộp cuối kỳ của HĐKD bất động sản,Thuế TNDN phải nộp cuối kỳ của HĐKD bất động sản,28.144.743.461,28144743461.0
Tổng Chi phí thuế TNDN hiện hành,Các khoản điều chỉnh giảm > Tổng Chi phí thuế TNDN hiện hành,Tổng Chi phí thuế TNDN hiện hành,89.819.421.421,89819421421.0
Tổng thuế TNDN phải nộp cuối kỳ,Các khoản điều chỉnh giảm > Tổng thuế TNDN phải nộp cuối kỳ,Tổng thuế TNDN phải nộp cuối kỳ,28.144.743.461,28144743461.0
