row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,Cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__Cộng
,,,VND,VND,VND,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu kỳ,Nguyên giá > Số dư đầu kỳ,Số dư đầu kỳ,16.307.939.047,130.850.237,16.438.789.284,16307939047.0,130850237.0,16438789284.0
"- Thanh lý, nhượng bán","Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(1.671.078.345),-,(1.671.078.345),-1671078345.0,,-1671078345.0
- Giảm theo giá trị định giá,Nguyên giá > - Giảm theo giá trị định giá,- Giảm theo giá trị định giá,(428.224.307),-,(428.224.307),-428224307.0,,-428224307.0
- Bàn giao cho Công ty TNHH Quản lý và Đầu tư Dự án Bình Dương (*),Nguyên giá > - Bàn giao cho Công ty TNHH Quản lý và Đầu tư Dự án Bình Dương (*),- Bàn giao cho Công ty TNHH Quản lý và Đầu tư Dự án Bình Dương (*),(14.137.177.625),-,(14.137.177.625),-14137177625.0,,-14137177625.0
Số dư cuối kỳ,Nguyên giá > Số dư cuối kỳ,Số dư cuối kỳ,71.458.770,130.850.237,202.309.007,71458770.0,130850237.0,202309007.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số dư đầu kỳ,Giá trị hao mòn lũy kế > Số dư đầu kỳ,Số dư đầu kỳ,4.840.684.185,130.850.237,4.971.534.422,4840684185.0,130850237.0,4971534422.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,148.839.136,-,148.839.136,148839136.0,,148839136.0
"- Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(978.762.930),-,(978.762.930),-978762930.0,,-978762930.0
- Giảm theo giá trị định giá,Giá trị hao mòn lũy kế > - Giảm theo giá trị định giá,- Giảm theo giá trị định giá,(390.753.690),-,(390.753.690),-390753690.0,,-390753690.0
- Bàn giao cho Công ty TNHH Quản lý và Đầu tư Dự án Bình Dương (*),Giá trị hao mòn lũy kế > - Bàn giao cho Công ty TNHH Quản lý và Đầu tư Dự án Bình Dương (*),- Bàn giao cho Công ty TNHH Quản lý và Đầu tư Dự án Bình Dương (*),(3.596.152.747),-,(3.596.152.747),-3596152747.0,,-3596152747.0
Số dư cuối kỳ,Giá trị hao mòn lũy kế > Số dư cuối kỳ,Số dư cuối kỳ,23.853.954,130.850.237,154.704.191,23853954.0,130850237.0,154704191.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày đầu kỳ,Giá trị còn lại > Tại ngày đầu kỳ,Tại ngày đầu kỳ,11.467.254.862,-,11.467.254.862,11467254862.0,,11467254862.0
Tại ngày cuối kỳ,Giá trị còn lại > Tại ngày cuối kỳ,Tại ngày cuối kỳ,47.604.816,-,47.604.816,47604816.0,,47604816.0
