row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Từ 01/01/2018 đến31/10/2018VND,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Từ 01/01/2018 đến31/10/2018VND
01,01,01,1. Doanh thu bán hàng và cung cấp dịch vụ,24,513.229.963.205,,24.0,513229963205.0
02,02,02,2. Các khoản giảm trừ doanh thu,,-,,,
10,02 > 10,10,3. Doanh thu thuần bán hàng và cung cấp dịch vụ,,513.229.963.205,,,513229963205.0
11,02 > 11,11,4. Giá vốn hàng bán,25,71.820.581.168,,25.0,71820581168.0
20,02 > 20,20,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,,441.409.382.037,,,441409382037.0
21,02 > 21,21,6. Doanh thu hoạt động tài chính,26,549.432.617.184,,26.0,549432617184.0
22,02 > 22,22,7. Chi phí tải chính,27,178.947.346.851,,27.0,178947346851.0
23,02 > 23,23,Trong đó: Chi phí lãi vay,,51.619.064.697,,,51619064697.0
25,02 > 25,25,8. Chi phí bán hàng,,619.894.820,,,619894820.0
26,02 > 26,26,9. Chi phí quản lý doanh nghiệp,28,76.200.510.484,,28.0,76200510484.0
30,02 > 30,30,10. Lợi nhuận thuần từ hoạt động kinh doanh,,735.074.247.066,,,735074247066.0
31,02 > 31,31,11. Thu nhập khác,,54.000.441,,,54000441.0
32,02 > 32,32,12. Chi phí khác,29,925.822.980,,29.0,925822980.0
40,02 > 40,40,13. Lợi nhuận khác,,(871.822.539),,,-871822539.0
50,02 > 50,50,14. Tổng lợi nhuận kế toán trước thuế,,734.202.424.527,,,734202424527.0
51,02 > 51,51,15. Chi phí thuế thu nhập doanh nghiệp hiện hành,30,89.819.421.421,,30.0,89819421421.0
60,02 > 60,60,17. Lợi nhuận sau thuế thu nhập doanh nghiệp,,644.383.003.106,,,644383003106.0
