row_label_raw,row_label_full,Số đầu năm,Số đầu năm_1,Phát sinh trong năm,Phát sinh trong năm_1,Số cuối năm,Số cuối năm_1,numeric__Số đầu năm_1,numeric__Phát sinh trong năm,numeric__Phát sinh trong năm_1,numeric__Số cuối năm,numeric__Số cuối năm_1
Phải thu triệu đồng,Phải thu triệu đồng,Phải thu triệu đồng,Phải trả triệu đồng,Phát sinh tăng triệu đồng,Phát sinh giảm triệu đồng,Phải thu triệu đồng,Phải trả triệu đồng,,,,,
(14.693),Phải thu triệu đồng > (14.693),(14.693),50.697,414.466,(399.423),(5.354),56.401,50697.0,414466.0,-399423.0,-5354.0,56401.0
-,Phải thu triệu đồng > -,-,333.714,1.974.359,(1.812.234),-,495.839,333714.0,1974359.0,-1812234.0,,495839.0
-,-,-,-,-,-,-,-,,,,,
-,- > -,-,-,1.959.995,(1.812.234),-,-,,1959995.0,-1812234.0,,
-,- > -,-,-,84,-,-,-,,84.0,,,
-,- > -,-,-,14.197,-,-,-,,14197.0,,,
-,- > -,-,-,83,-,-,-,,83.0,,,
-,- > -,-,162.259,814.548,(902.207),-,74.600,162259.0,814548.0,-902207.0,,74600.0
(14.693),- > (14.693),(14.693),546.670,3.203.373,(3.113.864),(5.354),626.840,546670.0,3203373.0,-3113864.0,-5354.0,626840.0
